"question","answer"
"How many times does a person blink per day?","A person blinks approximately 15,000 to 20,000 times per day."
"What is the most common eye color?","Brown is the most common eye color in the world."
"How fast do fingernails grow?","Fingernails grow approximately 3 to 4 millimeters per month."
"What percentage of the body is muscle?","Muscles make up approximately 40% of total body weight."
"How many sweat glands does the human body have?","The human body has between 2 and 4 million sweat glands."
"What is the normal body temperature?","Normal human body temperature is approximately 37 degrees Celsius."
"How long does it take food to digest?","Food takes approximately 24 to 72 hours to fully digest."
"What is the smallest organ in the human body?","The pineal gland is one of the smallest organs in the human body."
"How many liters of saliva does a person produce daily?","A person produces approximately 1 to 2 liters of saliva daily."
"What is the body's largest artery?","The aorta is the largest artery in the human body."
"How many chromosomes do humans have?","Humans have 46 chromosomes in each cell."
"What percentage of the body is oxygen?","Oxygen makes up approximately 65% of the human body by mass."
"How many hairs are on a human head?","The average human head has approximately 100,000 hairs."
"What is the average lifespan of a red blood cell?","Red blood cells live for approximately 120 days."
"How much does the human skeleton weigh?","The human skeleton weighs approximately 15% of total body weight."
"What is the fastest healing part of the body?","The tongue is one of the fastest healing parts of the body."
"How many bones are in the human hand?","The human hand contains 27 bones."
"What is the thinnest skin on the body?","The eyelids have the thinnest skin on the human body."
"How much does the human brain weigh?","The human brain weighs approximately 3 pounds."
"What percentage of the body is carbon?","Carbon makes up approximately 18% of the human body."
"How many breaths does a person take per day?","A person takes approximately 20,000 breaths per day."
"What is the average resting heart rate?","The average resting heart rate is between 60 and 100 beats per minute."
"How long is the human small intestine?","The human small intestine is approximately 20 feet long."
"What is the most common surname in the world?","Wang is the most common surname in the world."
"Who invented the wheel?","The wheel was invented in ancient Mesopotamia around 3500 BCE."
"What is the oldest known civilization?","The Sumerian civilization is considered one of the oldest."
"Who built the pyramids?","The ancient Egyptians built the pyramids."
"What year was the first Olympics held?","The first recorded Olympics were held in 776 BCE."
"Who was the first emperor of China?","Qin Shi Huang was the first emperor of China."
"What caused the fall of the Roman Empire?","Multiple factors including invasions contributed to Rome's fall."
"Who discovered fire?","Early humans discovered how to control fire over a million years ago."
"What was the Renaissance?","The Renaissance was a cultural movement that began in 14th century Italy."
"Who was Genghis Khan?","Genghis Khan was the founder of the Mongol Empire."
"What was the Black Death?","The Black Death was a devastating plague in 14th century Europe."
"Who was the first human in space?","Yuri Gagarin was the first human in space."
"What year was the telephone patented?","The telephone was patented in 1876."
"Who was Cleopatra?","Cleopatra was the last active ruler of the Ptolemaic Kingdom of Egypt."
"What was the Industrial Revolution?","The Industrial Revolution was a period of major mechanization starting in the 1760s."
"Who wrote the Communist Manifesto?","Karl Marx and Friedrich Engels wrote the Communist Manifesto."
"What year did slavery end in the United States?","Slavery officially ended in the United States in 1865."
"Who was Joan of Arc?","Joan of Arc was a French heroine who led armies during the Hundred Years' War."
"What was the Silk Road?","The Silk Road was an ancient trade network connecting East and West."
"Who invented paper?","Paper was invented in ancient China around 105 CE."
"What was the Cold War?","The Cold War was a period of geopolitical tension between the US and USSR."
"Who was Alexander the Great?","Alexander the Great was a Macedonian king who created one of history's largest empires."
"What year was the Magna Carta signed?","The Magna Carta was signed in 1215."
"Who discovered the Americas before Columbus?","Leif Erikson reached the Americas around 500 years before Columbus."
"What was the French Revolution?","The French Revolution was a period of political upheaval beginning in 1789."
"Who built the Great Wall of China?","Multiple Chinese dynasties built and extended the Great Wall."
"What was the Enlightenment?","The Enlightenment was an intellectual movement emphasizing reason in the 17th and 18th centuries."
"Who was Napoleon Bonaparte?","Napoleon Bonaparte was a French military leader who became Emperor."
"What year was gunpowder invented?","Gunpowder was invented in China around the 9th century."
"Who was Queen Victoria?","Queen Victoria was the British monarch who reigned from 1837 to 1901."
"What was the Byzantine Empire?","The Byzantine Empire was the eastern continuation of the Roman Empire."
"Who invented the compass?","The compass was invented in ancient China around the 2nd century BCE."
"What was apartheid?","Apartheid was a system of racial segregation in South Africa."
"Who was Mahatma Gandhi?","Mahatma Gandhi was the leader of India's independence movement."
"What year was the Suez Canal opened?","The Suez Canal was opened in 1869."
"Who was the last Tsar of Russia?","Nicholas II was the last Tsar of Russia."
"What was the Ottoman Empire?","The Ottoman Empire was a Turkish state that lasted from 1299 to 1922."
"Who discovered radioactivity?","Henri Becquerel discovered radioactivity in 1896."
"What was the Trojan War?","The Trojan War was a legendary conflict between Greeks and the city of Troy."
"Who invented the steam locomotive?","George Stephenson invented the first practical steam locomotive."
"What was the Reformation?","The Reformation was a 16th century religious movement against the Catholic Church."
"Who was Confucius?","Confucius was an ancient Chinese philosopher and teacher."
"What year was the Panama Canal completed?","The Panama Canal was completed in 1914."
"Who was Julius Caesar?","Julius Caesar was a Roman general who became dictator of Rome."
"What was feudalism?","Feudalism was a medieval social system based on land ownership and loyalty."
"Who invented the printing press?","Johannes Gutenberg invented the movable type printing press."
"What was the Hundred Years' War?","The Hundred Years' War was a series of conflicts between England and France."
"Who was the first female Prime Minister of the UK?","Margaret Thatcher was the first female Prime Minister of the UK."
"What year was the atomic bomb first used?","The atomic bomb was first used in warfare in 1945."
"Who was Martin Luther?","Martin Luther was a German monk who initiated the Protestant Reformation."
"What was the Spanish Inquisition?","The Spanish Inquisition was a religious tribunal established in 1478."
"Who discovered Australia?","Indigenous Australians arrived over 50,000 years ago."
"What was the Great Depression?","The Great Depression was a severe economic downturn in the 1930s."
"Who was King Henry VIII?","King Henry VIII was an English monarch famous for his six marriages."
"What year was the Wright Brothers' first flight?","The Wright Brothers' first flight was in 1903."
"Who was Marco Polo?","Marco Polo was a Venetian merchant who traveled to Asia in the 13th century."
"What was the Crusades?","The Crusades were medieval religious wars to reclaim the Holy Land."
"Who invented dynamite?","Alfred Nobel invented dynamite in 1867."
"What was the Meiji Restoration?","The Meiji Restoration was Japan's rapid modernization beginning in 1868."
"Who was Isaac Newton?","Isaac Newton was an English physicist who developed laws of motion and gravity."
"What year did the Vietnam War end?","The Vietnam War ended in 1975."
"Who was Michelangelo?","Michelangelo was an Italian Renaissance artist and sculptor."
"What was the Bronze Age?","The Bronze Age was a period when bronze tools and weapons were prevalent."
"Who discovered gravity?","Isaac Newton formulated the theory of gravity."
"What is the largest country in Africa?","Algeria is the largest country in Africa by area."
"What language has the most words?","English has one of the largest vocabularies of any language."
"What is the longest English word?","Pneumonoultramicroscopicsilicovolcanoconiosis is the longest English word in major dictionaries."
"What is the most translated book?","The Bible is the most translated book in history."
"What is the shortest war in history?","The Anglo-Zanzibar War lasted only 38 to 45 minutes."
"What country has the most time zones?","France has the most time zones due to its overseas territories."
"What is the busiest airport in the world?","Hartsfield-Jackson Atlanta International is the busiest airport."
"What is the longest bridge in the world?","The Danyang-Kunshan Grand Bridge in China is the longest bridge."
"What country has the most islands?","Sweden has the most islands with over 267,000."
"What is the tallest building in the world?","The Burj Khalifa in Dubai is the tallest building."
"What is the oldest country in the world?","San Marino claims to be the oldest country founded in 301 CE."
"What is the most expensive city to live in?","Singapore and Zurich are among the most expensive cities."
"What country produces the most coffee?","Brazil produces the most coffee in the world."
"What is the deepest metro station?","Arsenalna in Kyiv is the deepest metro station in the world."
"What is the longest highway in the world?","The Pan-American Highway is the longest highway system."
"What country has the most volcanoes?","Indonesia has the most volcanoes of any country."
"What is the largest stadium in the world?","Rungrado 1st of May Stadium in North Korea is the largest."
"What is the oldest hotel in the world?","Nishiyama Onsen Keiunkan in Japan is the oldest hotel."
"What country consumes the most chocolate?","Switzerland consumes the most chocolate per capita."
"What is the windiest place on Earth?","Commonwealth Bay in Antarctica is the windiest place."
"What is the busiest port in the world?","Shanghai is the busiest port in the world."
"What country has the longest coastline?","Canada has the longest coastline of any country."
"What is the largest library in the world?","The Library of Congress is the largest library."
"What is the smallest independent country by population?","Vatican City has the smallest population."
"What country has the most pyramids?","Sudan has more pyramids than Egypt."
"What is the hottest temperature ever recorded?","The hottest recorded temperature was 56.7 degrees Celsius in Death Valley."
"What is the coldest temperature ever recorded?","The coldest recorded temperature was minus 89.2 degrees Celsius in Antarctica."
"What country exports the most rice?","India is the world's largest exporter of rice."
"What is the longest river in Europe?","The Volga is the longest river in Europe."
"What country has the most UNESCO sites?","Italy has the most UNESCO World Heritage Sites."
"What is the largest lake in Africa?","Lake Victoria is the largest lake in Africa."
"What is the smallest continent?","Australia is the smallest continent."
"What ocean is the saltiest?","The Atlantic Ocean is the saltiest ocean."
"What is the longest mountain range on land?","The Andes is the longest mountain range on land."
"What country has the most neighbors?","China and Russia tie with the most bordering countries."
"What is the driest continent?","Antarctica is the driest continent."
"What is the flattest country?","The Maldives is the flattest country."
"What is the largest gulf in the world?","The Gulf of Mexico is the largest gulf."
"What river flows through the most countries?","The Danube flows through ten countries."
"What is the highest capital city?","La Paz in Bolivia is the highest capital city."
"What is the largest peninsula in the world?","The Arabian Peninsula is the largest peninsula."
"What is the shortest river in the world?","The Roe River in Montana is one of the shortest rivers."
"What country has the largest forest?","Russia has the largest forest area."
"What is the most remote inhabited island?","Tristan da Cunha is the most remote inhabited island."
"What is the world's largest salt flat?","Salar de Uyuni in Bolivia is the world's largest salt flat."
"What is the largest cave in the world?","Son Doong Cave in Vietnam is the largest cave."
"What percentage of freshwater is in glaciers?","Approximately 69% of freshwater is stored in glaciers."
"What country has the most lakes?","Canada has the most lakes of any country."
"What is the steepest street in the world?","Baldwin Street in New Zealand is one of the steepest streets."
"What is the longest fence in the world?","The Dingo Fence in Australia is the longest fence."
"What color does a chameleon turn when angry?","Chameleons often turn dark colors when angry or stressed."
"What fruit floats in water?","Apples float in water because they are less dense."
"What is the only food that never spoils?","Honey is the only food that never spoils."
"What common household item kills the most germs?","Soap is highly effective at killing germs."
"What metal is liquid at room temperature?","Mercury is liquid at room temperature."
"What is the only letter not in any US state name?","The letter Q is not in any US state name."
"What is the most stolen food in the world?","Cheese is the most stolen food in the world."
"What is the fear of long words called?","Hippopotomonstrosesquippedaliophobia is ironically the fear of long words."
"What is the dot over the letter i called?","The dot over the letter i is called a tittle."
"What is a group of flamingos called?","A group of flamingos is called a flamboyance."
"What is the only number spelled with letters in alphabetical order?","Forty is the only number with letters in alphabetical order."
"What is the plastic tip of a shoelace called?","The plastic tip of a shoelace is called an aglet."
"What is the space between your eyebrows called?","The space between your eyebrows is called the glabella."
"What is a baby puffin called?","A baby puffin is called a puffling."
"What is the fear of buttons called?","The fear of buttons is called koumpounophobia."
"What color is a polar bear's skin?","A polar bear's skin is actually black."
"What is the only vegetable never sold frozen?","Lettuce is rarely sold frozen commercially."
"What percentage of people are left-handed?","Approximately 10% of people are left-handed."
"What is a group of owls called?","A group of owls is called a parliament."
"What fruit has its seeds on the outside?","Strawberries have their seeds on the outside."
"What is the longest hiccuping spree on record?","Charles Osborne hiccuped for 68 years continuously."
"What animal cannot stick out its tongue?","Crocodiles cannot stick out their tongues."
"What is the only planet that rotates clockwise?","Venus is the only planet that rotates clockwise."
"What is the tallest type of grass?","Bamboo is technically the tallest type of grass."
"What country invented ice cream?","Ice cream was likely invented in ancient China."
"What is the national animal of Scotland?","The unicorn is the national animal of Scotland."
"What is the most common letter in English?","The letter E is the most common letter in English."
"What is a baby goat called?","A baby goat is called a kid."
"What animal has rectangular pupils?","Goats have rectangular pupils."
"What is the only US state with one syllable?","Maine is the only US state name with one syllable."
"What is a group of crows called?","A group of crows is called a murder."
"What does the word karaoke mean?","Karaoke means empty orchestra in Japanese."
"What is the national sport of Japan?","Sumo wrestling is the national sport of Japan."
"What is the world's oldest sport?","Wrestling is considered one of the oldest sports."
"What animal produces cashmere?","Cashmere goats produce cashmere wool."
"What is the softest mineral?","Talc is the softest mineral on the Mohs scale."
"What is the heaviest organ in the human body?","The liver is the heaviest internal organ."
"What blood type is called the universal donor?","O negative is the universal donor blood type."
"What is the rarest natural hair color?","Red hair is the rarest natural hair color."
"What animal has the shortest pregnancy?","The opossum has a pregnancy of only 12 to 13 days."
"What is the world's most popular fruit?","The tomato is technically the most produced fruit."
"What is the largest flower in the world?","The Rafflesia is the largest flower in the world."
"What tree produces acorns?","Oak trees produce acorns."
"What is the most common bird in the world?","The domestic chicken is the most common bird."
"What is the smallest country in South America?","Suriname is the smallest country in South America."
"What is the official language of Brazil?","Portuguese is the official language of Brazil."
"What metal is the best conductor of electricity?","Silver is the best conductor of electricity."
"What is the longest bone in the arm?","The humerus is the longest bone in the arm."
"What is the main component of glass?","Silica or sand is the main component of glass."
"What element makes up most of the sun?","Hydrogen makes up about 73% of the sun's mass."
"What is the most recycled material?","Aluminum is one of the most recycled materials."
"What gas makes soda fizzy?","Carbon dioxide makes soda fizzy."
"What is the largest internal organ?","The liver is the largest internal organ."
"What is the world's most spoken second language?","English is the most commonly learned second language."
"What vitamin is produced when skin is exposed to sunlight?","Vitamin D is produced when skin is exposed to sunlight."
"What is the longest running TV show?","The Simpsons is the longest running animated series."
"What instrument has 88 keys?","A standard piano has 88 keys."
"What is the world's best-selling book of all time?","The Bible is the best-selling book of all time."
"What color jersey does the Tour de France leader wear?","The Tour de France leader wears a yellow jersey."
"What is the main ingredient in tofu?","Soybeans are the main ingredient in tofu."
"What nut is used to make marzipan?","Almonds are used to make marzipan."
"What is the world's largest spider by leg span?","The giant huntsman spider has the largest leg span."
"What gemstone is the birthstone for September?","Sapphire is the birthstone for September."
"What is the chemical symbol for sodium?","The chemical symbol for sodium is Na."
"What is the world's largest rodent?","The capybara is the world's largest rodent."
"What country invented pizza?","Italy invented modern pizza."
"What is the currency of Switzerland?","The Swiss franc is the currency of Switzerland."
"What language is spoken in Austria?","German is the official language of Austria."
"What is the world's smallest mammal by weight?","The Etruscan shrew is the smallest mammal by weight."
"What is the chemical symbol for lead?","The chemical symbol for lead is Pb."
"What fruit is known as the king of fruits?","Durian is known as the king of fruits."
"What animal is the symbol of the World Wildlife Fund?","The giant panda is the symbol of WWF."
"What is the world's hottest pepper?","The Carolina Reaper is one of the world's hottest peppers."
"What is the national flower of Japan?","The cherry blossom is the national flower of Japan."
"What bird is the symbol of peace?","The dove is the symbol of peace."
"What is the largest moon in our solar system?","Ganymede is the largest moon in our solar system."
"What is the chemical formula for table salt?","The chemical formula for table salt is NaCl."
"What country is home to the kangaroo?","Australia is home to the kangaroo."
"What is the world's oldest democracy?","Iceland's Althing is considered the oldest parliament."
"What sea creature has three hearts?","Octopuses have three hearts."
"What is the largest type of deer?","The moose is the largest species of deer."
"What planet is known as the morning star?","Venus is known as the morning star."
"What is the currency of Japan?","The yen is the currency of Japan."
"What animal has the longest migration?","The Arctic tern has the longest migration."
"What is the world's largest flower bloom?","The corpse flower has the largest unbranched flower structure."
"What is the most common gas in Earth's atmosphere?","Nitrogen makes up about 78% of Earth's atmosphere."
"What is the world's oldest written language?","Sumerian is considered one of the oldest written languages."
"What is the chemical symbol for potassium?","The chemical symbol for potassium is K."
"What is the national bird of the United States?","The bald eagle is the national bird of the United States."
"What fruit gives Florida its nickname?","The orange gives Florida its nickname as the Sunshine State."
"What is the smallest prime number?","Two is the smallest prime number."
"What is the largest species of bear?","The polar bear is one of the largest species of bear."
"What is the main language spoken in Argentina?","Spanish is the main language spoken in Argentina."
"What animal is known as man's best friend?","The dog is known as man's best friend."
"What is the chemical symbol for copper?","The chemical symbol for copper is Cu."
"What is the world's largest bay?","The Bay of Bengal is the world's largest bay."
"What country invented fireworks?","China invented fireworks."
"What is the world's most venomous jellyfish?","The box jellyfish is the most venomous jellyfish."
"What is the world's longest snake?","The reticulated python is the world's longest snake."
"What is the national dish of Spain?","Paella is considered the national dish of Spain."
"What is the chemical formula for glucose?","The chemical formula for glucose is C6H12O6."
"What animal can sleep while standing up?","Horses can sleep while standing up."
"What is the world's fastest growing economy?","Various developing nations compete for fastest growing economy status."
"What is the most abundant mineral in the human body?","Calcium is the most abundant mineral in the human body."
"What is the world's largest amphitheater?","The Colosseum in Rome is the largest ancient amphitheater."
"What language has the most letters?","Khmer has one of the largest alphabets with 74 letters."
"What is the capital of New Zealand?","Wellington is the capital of New Zealand."
"What is the world's oldest musical composition?","The Hurrian Hymn is the oldest known musical composition."
"What is the chemical symbol for silver?","The chemical symbol for silver is Ag."
"What is the world's longest word without vowels?","Rhythms is the longest common English word without standard vowels."
"What animal has the longest lifespan?","The ocean quahog clam can live over 500 years."
"What is the world's smallest flowering plant?","Wolffia is the world's smallest flowering plant."
"What is the deepest point in the Atlantic Ocean?","The Puerto Rico Trench is the deepest point in the Atlantic."
"What is the world's largest castle?","Prague Castle is the largest ancient castle by area."
"What gemstone is the birthstone for April?","Diamond is the birthstone for April."
"What is the chemical symbol for tin?","The chemical symbol for tin is Sn."
"What is the world's largest desert animal?","The camel is one of the largest desert animals."
"What country has the largest oil reserves?","Venezuela has the largest proven oil reserves."
"What is the world's oldest tree species?","The ginkgo tree is one of the oldest tree species."
"What is the largest landlocked country?","Kazakhstan is the largest landlocked country."
"What instrument did Louis Armstrong play?","Louis Armstrong played the trumpet."
"What is the world's longest English palindrome?","Tattarrattat is one of the longest English palindromes."
"What is the chemical symbol for mercury?","The chemical symbol for mercury is Hg."
"What animal is the fastest swimmer?","The black marlin is one of the fastest swimming fish."
"What is the world's largest church?","St. Peter's Basilica is the largest church by interior area."
"What is the world's oldest religion still practiced?","Hinduism is one of the oldest religions still practiced."
"What is the chemical symbol for tungsten?","The chemical symbol for tungsten is W."
"What is the world's largest bay by coastline?","Hudson Bay has one of the longest bay coastlines."
"What is the smallest US state by area?","Rhode Island is the smallest US state by area."
"What is the world's largest active volcano?","Mauna Loa is the world's largest active volcano by volume."
"What bird has the longest bill?","The Australian pelican has one of the longest bills."
"What is the chemical symbol for antimony?","The chemical symbol for antimony is Sb."
"What is the world's largest atoll?","The Great Chagos Bank is the world's largest atoll by area."
"What animal has the highest blood pressure?","The giraffe has extremely high blood pressure."
"What is the world's longest canal?","The Grand Canal in China is the world's longest canal."
"What is the chemical formula for ammonia?","The chemical formula for ammonia is NH3."
"What is the world's largest producer of gold?","China is the world's largest producer of gold."
"What country has the most official languages?","Zimbabwe recognizes 16 official languages."
"What is the world's most visited museum?","The Louvre is the world's most visited museum."
"What animal produces the finest wool?","Vicuñas produce some of the finest wool."
"What is the smallest country in Asia?","The Maldives is the smallest country in Asia."
"What is the world's largest freshwater island?","Manitoulin Island is the world's largest freshwater island."
"What is the chemical formula for carbon dioxide?","The chemical formula for carbon dioxide is CO2."
"What is the world's oldest university in continuous operation?","The University of Bologna is the oldest in continuous operation."
"What is the world's longest river?","The Nile is traditionally considered the longest river."
"What is the capital of Morocco?","Rabat is the capital of Morocco."
"What is the world's largest inland body of water?","The Caspian Sea is the largest inland body of water."
"What is the chemical symbol for phosphorus?","The chemical symbol for phosphorus is P."
"What is the world's most traded commodity?","Crude oil is the world's most traded commodity."
"What is the world's deepest river?","The Congo River is the deepest river in the world."
"What is the capital of Nigeria?","Abuja is the capital of Nigeria."
"What is the world's largest man-made structure?","The Great Wall of China is the largest man-made structure."
"What is the chemical formula for methane?","The chemical formula for methane is CH4."
"What is the world's oldest continuously inhabited city?","Damascus is one of the oldest continuously inhabited cities."
"What is the capital of Kenya?","Nairobi is the capital of Kenya."
"What is the world's largest producer of tea?","China is the world's largest producer of tea."
"What is the chemical symbol for aluminum?","The chemical symbol for aluminum is Al."
"What is the world's largest hot desert?","The Sahara is the world's largest hot desert."
"What is the capital of Ethiopia?","Addis Ababa is the capital of Ethiopia."
"What is the world's most expensive diamond ever sold?","The Pink Star diamond sold for over 71 million dollars."
"What is the capital of Bangladesh?","Dhaka is the capital of Bangladesh."
"What is the world's oldest newspaper still in publication?","The Wiener Zeitung is one of the oldest newspapers still published."
"What is the chemical symbol for calcium?","The chemical symbol for calcium is Ca."
"What is the world's largest flower by diameter?","The Rafflesia arnoldii has the largest flower by diameter."
"How long has the Great Wall been standing?","The Great Wall has been standing for over two thousand years."
"How long had Rome been expanding before it fell?","Rome had been expanding for nearly five hundred years before it fell."
"By what means were the pyramids constructed?","The pyramids were constructed using limestone blocks and copper tools."
"How many languages are currently being spoken worldwide?","Approximately seven thousand languages are currently being spoken worldwide."
"When was the Colosseum completed?","The Colosseum was completed in 80 CE."
"How long have humans been using fire?","Humans have been using fire for approximately one million years."
"By whom was the telephone invented?","The telephone was invented by Alexander Graham Bell."
"How many satellites are currently orbiting Earth?","Over eight thousand satellites are currently orbiting Earth."
"When did the last ice age end?","The last ice age ended approximately twelve thousand years ago."
"How long has English been spoken?","English has been spoken for approximately 1,400 years."
"By whom was penicillin discovered?","Penicillin was discovered by Alexander Fleming in 1928."
"How long had the Roman Empire existed before splitting?","The Roman Empire had existed for over four centuries before splitting."
"How many species are being discovered each year?","Approximately 18,000 new species are being discovered each year."
"When was the printing press first used?","The printing press was first used in 1440."
"How long have dogs been domesticated?","Dogs have been domesticated for approximately 15,000 years."
"By what method was the Eiffel Tower constructed?","The Eiffel Tower was constructed using wrought iron lattice."
"How many languages have been lost throughout history?","Thousands of languages have been lost throughout history."
"When did the last mammoths die?","The last mammoths died approximately 4,000 years ago."
"How long has tea been consumed?","Tea has been consumed for over 5,000 years."
"By whom was radium discovered?","Radium was discovered by Marie and Pierre Curie."
"How many people are currently living on Earth?","Over eight billion people are currently living on Earth."
"When was the first photograph taken?","The first photograph was taken in 1826."
"How long had the dinosaurs existed before going extinct?","Dinosaurs had existed for approximately 165 million years before going extinct."
"By what means was the Panama Canal built?","The Panama Canal was built using locks and excavation."
"How many books are being published each year?","Approximately 2.2 million books are being published each year."
"When was electricity first harnessed?","Electricity was first harnessed in the late 1800s."
"How long have cats been domesticated?","Cats have been domesticated for approximately 10,000 years."
"By whom was the polio vaccine developed?","The polio vaccine was developed by Jonas Salk."
"How many emails are being sent daily?","Over 300 billion emails are being sent daily worldwide."
"When did humans first reach Antarctica?","Humans first reached Antarctica in 1820."
"How long has wheat been cultivated?","Wheat has been cultivated for approximately 10,000 years."
"By what process is paper made?","Paper is made by pressing together moist cellulose fibers."
"How many stars are contained in the Milky Way?","Approximately 200 billion stars are contained in the Milky Way."
"When was the first vaccine administered?","The first vaccine was administered in 1796."
"How long had Pompeii been buried before being discovered?","Pompeii had been buried for nearly 1,700 years before being discovered."
"By whom was the X-ray discovered?","The X-ray was discovered by Wilhelm Röntgen in 1895."
"How many flights are being operated daily worldwide?","Over 100,000 flights are being operated daily worldwide."
"When was gunpowder first invented?","Gunpowder was first invented in 9th century China."
"How long have horses been domesticated?","Horses have been domesticated for approximately 6,000 years."
"By what method were the pyramids aligned?","The pyramids were aligned using astronomical observations."
"How many trees are currently growing on Earth?","Approximately three trillion trees are currently growing on Earth."
"When were the first cities established?","The first cities were established around 4000 BCE."
"How long has wine been produced?","Wine has been produced for approximately 8,000 years."
"By whom was insulin discovered?","Insulin was discovered by Frederick Banting and Charles Best."
"How many websites are currently active?","Over 1.5 billion websites are currently active on the internet."
"When was the first antibiotic used?","The first antibiotic was used in 1942."
"How long had the Byzantine Empire lasted?","The Byzantine Empire had lasted for over 1,000 years."
"By what means were medieval castles defended?","Medieval castles were defended using moats and thick walls."
"How many songs are being streamed daily?","Billions of songs are being streamed daily on music platforms."
"When was the microscope invented?","The microscope was invented in the late 1500s."
"How long have olives been cultivated?","Olives have been cultivated for approximately 7,000 years."
"By whom was the steam engine improved?","The steam engine was improved by James Watt."
"How many species of fish are known to exist?","Over 34,000 species of fish are known to exist."
"When was writing first developed?","Writing was first developed around 3400 BCE."
"How long has silk been produced?","Silk has been produced for approximately 5,000 years."
"By what process is chocolate made?","Chocolate is made by fermenting and roasting cacao beans."
"How many acres of forest are being lost annually?","Approximately 10 million hectares of forest are being lost annually."
"When was the first computer built?","The first electronic computer was built in 1945."
"How long had the Ming Dynasty ruled China?","The Ming Dynasty had ruled China for 276 years."
"By whom was the law of gravity formulated?","The law of gravity was formulated by Isaac Newton."
