"conlang","english","etymology_in_conlang"
"־אַק / ־וָאק","animate plural suffix","אַחְרָא אַלְגוֹנְקְוִינִי לְרִבּוּי שֵׁמוֹת חַיִּים."
"וְ־ / וּ־","and (conjunction)","חִבּוּר עִבְרִי. הַחוּט שֶׁתּוֹפֵר פִּסְקָאוֹת יַחַד."
"בְּ־","in, at, with (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"לְ־","to, for (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"מִ־ / מִן","from (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"הַ־ / ה־","the (definite article)","ה־ הַיְּדִיעָה עִבְרִי. מִתְחַבֵּר בְּשִׂמְחָה לְשֵׁמוֹת אַלְגוֹנְקְוִינִיִּים."
"שֶׁ־","that, which (relativizer)","זִקָּה נִסְמֶכֶת עִבְרִית."
"הִנֵּה","behold, look","חֶלְקִיק שִׂיחָה עִבְרִי. מְצִיג."
"הֲרֵי","indeed, surely","חֶלְקִיק שִׂיחָה עִבְרִי. מַדְגִּישׁ."
"גַּם","also, too","חֶלְקִיק שִׂיחָה עִבְרִי. מוֹסִיף."
"רַק","only, just","חֶלְקִיק שִׂיחָה עִבְרִי. מַגְבִּיל."
"כְּבָר","already","חֶלְקִיק שִׂיחָה עִבְרִי. אַסְפֶּקְט שָׁלֵם."
"אוּלַי","perhaps, maybe","חֶלְקִיק שִׂיחָה עִבְרִי. מוֹדָלִי."
"עַתָּה","now","חֶלְקִיק זְמַן עִבְרִי."
"תָּמִיד","always, continually","חֶלְקִיק זְמַן עִבְרִי. אַסְפֶּקְט הֶרְגֵּלִי."
"מַהִיקַנִּיטָאךְ","Mahikanítakh (Hudson Valley)","שֵׁם הִיבְּרִידִי: מָהִיקָאן Mahicannituck ('הַנָּהָר שֶׁזּוֹרֵם לִשְׁנֵי הַכִּוּוּנִים') + אַחְרָא טֶרִיטוֹרְיָאלִי עִבְרִי -ítakh. מוֹלֶדֶת הַשָּׂפָה."
"רַב","rabbi, teacher","עִבְרִית rav. אוֹצַר מִלִּים דָּתִי."
"בְּרָכָה","blessing","עִבְרִית b'rakhah. אוֹצַר מִלִּים דָּתִי."
"שָׁלוֹם","peace","עִבְרִית shalom. בְּרָכָה וּמֻשָּׂג."
"תְּפִלָּה / לְהִתְפַּלֵּל","prayer, to pray","אוֹצַר מִלִּים דָּתִי עִבְרִי."
"תּוֹרָה","Torah, teaching","עִבְרִית. מֻשָּׂג דָּתִי מֶרְכָּזִי."
"מִצְוָה","commandment","עִבְרִית mitzvah. אוֹצַר מִלִּים אֶתִי-דָּתִי."
"קָדוֹשׁ","holy, sacred","עִבְרִית kadosh. אוֹצַר מִלִּים דָּתִי."
"שַׁבָּת","Sabbath","עִבְרִית shabbat. אוֹצַר מִלִּים שֶׁל לוּחַ."
"קָאפֵּיוָאבּוֹ","coffee","אַלְגוֹנְקְוִינִי kaapewabo. אוֹצַר מִלִּים שֶׁל מַשְׁקָאוֹת."
"אַנִיבִּישָׁאבוֹ","tea","אַלְגוֹנְקְוִינִי anibiishaabo. אוֹצַר מִלִּים שֶׁל מַשְׁקָאוֹת."
"אִינִינָאטִיגוֹ נָאמִינָאס","maple syrup","אַלְגוֹנְקְוִינִי ininaatigo naaminas. אוֹצַר מִלִּים שֶׁל אֹכֶל מֵהָאָרֶץ."
"אָמוֹ־סִיזִיבָּאקְוַאד","honey","אַלְגוֹנְקְוִינִי aamo-sizibaakwad. אוֹצַר מִלִּים מָתוֹק."
"מַנְדָּאמִין","corn","אַלְגוֹנְקְוִינִי mandaamin. אוֹצַר מִלִּים חַקְלָאִי."
"וָאבוֹז","rabbit","אַלְגוֹנְקְוִינִי waaboz. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"וָאבוֹזְס","little rabbit (diminutive)","אַרְנֶבֶת + הַקְטָנָה -ס."
"אַנִימוֹשׁ","dog","אַלְגוֹנְקְוִינִי animosh. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"קָאג׳אַגֶנְס","cat","אַלְגוֹנְקְוִינִי kaajagens. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"פִּינֶשִׁינְג׳","bird","אַלְגוֹנְקְוִינִי pineshiinj. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"קִינִיו מִיגְוַאן","eagle feather","אַלְגוֹנְקְוִינִי kiniw miigwan. אוֹצַר מִלִּים טִקְסִי."
"טֶוֶוהִיגַן","drum","אַלְגוֹנְקְוִינִי tewehigan. אוֹצַר מִלִּים טִקְסִי."
"נַאסֵמָא","tobacco","אַלְגוֹנְקְוִינִי nasemaa. רְפוּאָה קְדוֹשָׁה."
"קִיזִ׳יק","cedar","אַלְגוֹנְקְוִינִי kiijik. רְפוּאָה קְדוֹשָׁה."
"נוֹקְוֶוַאשְׁק","sweetgrass","אַלְגוֹנְקְוִינִי nokwewashk. רְפוּאָה קְדוֹשָׁה."
"אַפָּאבוֹוַאשְׁק","sage","אַלְגוֹנְקְוִינִי apabowashk. רְפוּאָה קְדוֹשָׁה."
"קִיטִיזִי","elder","אַלְגוֹנְקְוִינִי kitizi. אוֹצַר מִלִּים שֶׁל קִרְבָה/כָּבוֹד."
"וִידְ׳ג׳יקִיוֶוֵי","friend","אַלְגוֹנְקְוִינִי wiijikiwewe. אוֹצַר מִלִּים חֶבְרָתִי."
"וִידְ׳ג׳יגֶנְדָּאגַן","neighbor","אַלְגוֹנְקְוִינִי wiijigendaagan. אוֹצַר מִלִּים חֶבְרָתִי."
"וִידִיגֶמָאגַן","wife, husband, spouse","אַלְגוֹנְקְוִינִי wiidigemaaagan. אוֹצַר מִלִּים שֶׁל קִרְבָה."
"אָנִיקֶה־מִישׁוֹמִיסִינָאבַנֶג","ancestor(s)","אַלְגוֹנְקְוִינִי aanike-mishoomisinabaneg. אוֹצַר מִלִּים שֶׁל קִרְבָה."
"פִּיקְוַאדִין","mountain","אַלְגוֹנְקְוִינִי pikwaadin. אוֹצַר מִלִּים שֶׁל אָרֶץ."
"פַּאנְגִישִׁימוֹ","sunset","אַלְגוֹנְקְוִינִי pangishimo. אוֹצַר מִלִּים שֶׁל זְמַן/טֶבַע."
"מוֹקַאהַם","sunrise","אַלְגוֹנְקְוִינִי mookaham. אוֹצַר מִלִּים שֶׁל זְמַן/טֶבַע."
"מוֹשְׁקִינֶה אַפְּקִיזִי טִיבִּיק־קִיזִיס","full moon","אַלְגוֹנְקְוִינִי: מָלֵא + זוֹרֵחַ + שֶׁמֶשׁ-לַיְלָה. אוֹצַר מִלִּים אַסְטְרוֹנוֹמִי."
"וָאבִיגוֹן","flower","אַלְגוֹנְקְוִינִי waabigon. אוֹצַר מִלִּים שֶׁל צְמָחִים."
"מִינִיקַאן","seeds","אַלְגוֹנְקְוִינִי miinikan. אוֹצַר מִלִּים חַקְלָאִי."
"אוֹנְדַאמִיטַא","to work","אַלְגוֹנְקְוִינִי ondamita. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"אוֹדַאמִינוֹ","to play","אַלְגוֹנְקְוִינִי odamino. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"נִיבָּא","to sleep","אַלְגוֹנְקְוִינִי nibaa. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"קוֹשְׁקוֹזִי","to wake up","אַלְגוֹנְקְוִינִי koshkozi. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"פָּאפִּי","to laugh","אַלְגוֹנְקְוִינִי paapi. אוֹצַר מִלִּים רִגְשִׁי."
"מַאוִוי","to cry","אַלְגוֹנְקְוִינִי mawi. אוֹצַר מִלִּים רִגְשִׁי."
"פַּאפִּינְגְוֶנִי","to smile","אַלְגוֹנְקְוִינִי papingweni. אוֹצַר מִלִּים רִגְשִׁי."
"פָּאפִּינֶנִינְדַאם","happy","אַלְגוֹנְקְוִינִי paapinenindam. אוֹצַר מִלִּים רִגְשִׁי."
"קַאשְׁקֶנִינְדַאם","sad","אַלְגוֹנְקְוִינִי kashkenindam. אוֹצַר מִלִּים רִגְשִׁי."
"נִישְׁקַאדִיסִי","angry","אַלְגוֹנְקְוִינִי nishkaadisi. אוֹצַר מִלִּים רִגְשִׁי."
"בּוּז׳וּ","hello, greetings","אוֹגִ׳יבְוֶוֵי boozhoo. בְּרָכָה מֵאַלְגוֹנְקְוִין מֶרְכָּזִי."
"מִיגְוֶוץ׳","thank you","אוֹגִ׳יבְוֶוֵי miigwech. אוֹצַר מִלִּים שֶׁל הוֹדָיָה."
"אָאנִין","how? why?","אוֹגִ׳יבְוֶוֵי aaniin. מִלַּת שְׁאֵלָה."
"אָאנִין אַפִּי","when?","אוֹגִ׳יבְוֶוֵי aaniin apii. מִלַּת שְׁאֵלָה."
"אַלַּאנְקְוֶה","star","לֶנַאפֶּה allanque. אוֹצַר מִלִּים אַסְטְרוֹנוֹמִי."
"אַלַאפַּא","tomorrow","לֶנַאפֶּה alappa. אוֹצַר מִלִּים שֶׁל זְמַן."
"אֶלֶמִי","today (sometime today)","לֶנַאפֶּה elemi לְ'מָתַי הַיּוֹם.' עִבְרִית הַיּוֹם לְזְמַן מֻפְשָׁט."
"אַוּוֶן","who? somebody","לֶנַאפֶּה auwen. מִלַּת שְׁאֵלָה/כִּנּוּי לֹא-מְיֻחָד."
"אַטַּא","no, not","לֶנַאפֶּה atta. שְׁלִילָה."
"אַוּוֹן","fog, mist","לֶנַאפֶּה awonn. אוֹצַר מִלִּים שֶׁל מֶזֶג אֲוִיר."
"אַסִּיסְקוּ","mud, clay","לֶנַאפֶּה assisku. אוֹצַר מִלִּים שֶׁל אָרֶץ."
"אַוֶוסִּיס","beast, animal","לֶנַאפֶּה awessis. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"אֶלֶמוּקוּלֶק","river bend, in the bend of the river","לֶנַאפֶּה elemukulek. אוֹצַר מִלִּים גֵּאוֹגְרָפִי."
"מוֹקוֹמָאן","knife","אַלְגוֹנְקְוִינִי mookoman. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"אֶמִיקְוָאן","spoon","אַלְגוֹנְקְוִינִי emikwaan. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"פַּאדַאקַאהִיגַן","fork","אַלְגוֹנְקְוִינִי padakahigan. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"סָאסֶקְוָאן","frying pan","אַלְגוֹנְקְוִינִי saasekwaan. אוֹצַר מִלִּים שֶׁל בִּשּׁוּל."
"אוֹנָאגַן","plate","אַלְגוֹנְקְוִינִי onaagan. אוֹצַר מִלִּים שֶׁל סְעֻדָּה."
"אַקְוָאנְדַאוָאגַן","stairs","אַלְגוֹנְקְוִינִי akwaandawaagan. אוֹצַר מִלִּים אֲדְרִיכָלִי."
"אַגְוַאדְ׳ז׳ינְג","outside","אַלְגוֹנְקְוִינִי agwaajiing. אוֹצַר מִלִּים מֶרְחָבִי."
"מַאדוֹדִיסוֹן","sweat lodge","אַלְגוֹנְקְוִינִי madoodison. אוֹצַר מִלִּים טִקְסִי."
"אוֹפְּוָאגַן","pipe","אַלְגוֹנְקְוִינִי opwaagan. אוֹצַר מִלִּים טִקְסִי."
"מַאגוֹשֶׁוִוין","feast","אַלְגוֹנְקְוִינִי magoshewin. אוֹצַר מִלִּים טִקְסִי."
"אִיזִ׳יטְוָאוִוין","ceremony","אַלְגוֹנְקְוִינִי iijitwaawin. אוֹצַר מִלִּים טִקְסִי."
"מַאשְׁקִיקִיוִוינִינִי / מַאשְׁקִיקִיקְוֶוֵי","medicine man/woman","אַלְגוֹנְקְוִינִי mashkikiiwininii / mashkikiikwe. אוֹצַר מִלִּים טִקְסִי."
"פִּיקוֹגָאן","teepee","אַלְגוֹנְקְוִינִי pikogaan. אוֹצַר מִלִּים שֶׁל מִשְׁכָּן."
"מַאמַאנְדוֹסֶה קִיז׳יק","pow wow, gathering day","אַלְגוֹנְקְוִינִי mamandose kiijik. אוֹצַר מִלִּים טִקְסִי."
"סוֹמָאנִיקִי","penny","אַלְגוֹנְקְוִינִי soomaniki. אוֹצַר מִלִּים שֶׁל כֶּסֶף."
"נִיזְ׳ וָאבִּיק","dollar (two)","אַלְגוֹנְקְוִינִי niij waabik. אוֹצַר מִלִּים שֶׁל כֶּסֶף."
"טִיבַּאהִיגִיזִיסְוָאן","clock","אַלְגוֹנְקְוִינִי tibahigiziswan. אוֹצַר מִלִּים שֶׁל זְמַן."
"טִיבַּאהִיגַן","hour","אַלְגוֹנְקְוִינִי tibahigan. אוֹצַר מִלִּים שֶׁל זְמַן."
"טִיבַּאהִיגָאנְס","minute","אַלְגוֹנְקְוִינִי tibahigaans. אוֹצַר מִלִּים שֶׁל זְמַן."
"פִּיסִי־טִיבַּאהִיגָאנְס","second (time)","אַלְגוֹנְקְוִינִי pisi-tibahigaans. אוֹצַר מִלִּים שֶׁל זְמַן."
"אָבִּיטָא־טִיבִּיקַד","midnight","אַלְגוֹנְקְוִינִי aabitaa-tibikad. אוֹצַר מִלִּים שֶׁל זְמַן."
"קַדְמָא","prefix (grammatical term)","מֻנָּח דִּקְדּוּקִי בְּסִגְנוֹן עִבְרִי: 'מָה שֶׁבָּא לִפְנֵי.'"
"אַחְרָא","suffix (grammatical term)","מֻנָּח דִּקְדּוּקִי בְּסִגְנוֹן עִבְרִי: 'מָה שֶׁבָּא אַחֲרֵי.'"
"פֹּעֲלָא / פֹּעַל","verb (grammatical term)","עִבְרִית po'al. אוֹצַר מִלִּים דִּקְדּוּקִי."
"שֵׁם / שְׁמָא","noun (grammatical term)","עִבְרִית shem. אוֹצַר מִלִּים דִּקְדּוּקִי."
"לוֹקָטִיב","locative (grammatical term)","מֻנָּח דִּקְדּוּקִי מֻשְׁאָל."
"פֵּירוּשׁוֹ","its meaning, it means","עִבְרִית: פֵּירוּשׁ שֶׁלּוֹ."
"מִלָּה","word","עִבְרִית millah. אוֹצַר מִלִּים מֶטָא-לָשׁוֹנִי."
"לָשׁוֹן","language","עִבְרִית lashon. אוֹצַר מִלִּים מֶטָא-לָשׁוֹנִי."
"שָׁלוֹם־וְאָנִי / וְלַאלִינְטַאם","peace and gratitude (closing)","סִיּוּם הִיבְּרִידִי: עִבְרִית shalom + הוֹדָיָה אַלְגוֹנְקְוִינִית."

"פֵּייָאק","one (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לִסְפִירָה יוֹם-יוֹמִית. כְּשֶׁאַתָּה סוֹפֵר חֲפָצִים אוֹ אוֹמֵר 'תֵּן לִי אֶחָד'—פֵּייָאק. לֹא לִתְפִלָּה."
"נִיזְ׳","two (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לִשְׁנַיִם. 'שְׁנֵי יְלָדִים'—נִיזְ׳ אֲבִינוֹדְיִינַאק. לִסְפִירָה רְגִילָה."
"נִיסְוִי","three (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לִשְׁלֹשָׁה. 'שְׁלֹשָׁה דְּרָכִים'—נִיסְוִי תְּמָקָאנַאק."
"נִיוִין","four (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לְאַרְבָּעָה. אַרְבַּע כִּוּוּנִים, אַרְבַּע עוֹנוֹת בְּדִבּוּר רָגִיל."
"נָאנַאן","five (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לַחֲמִשָּׁה. חָמֵשׁ אֶצְבָּעוֹת—קָשׁוּר לַיָּד."
"נִינְגוֹדְוָאסְוִי","six (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לְשִׁשָּׁה. סְפִירָה יוֹם-יוֹמִית."
"נִיזְ׳וָאסְוִי","seven (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לְשִׁבְעָה. שֶׁבַע כּוֹסוֹת עַל הַשֻׁלְחָן—יוֹם-יוֹמִי, לֹא שַׁבָּת."
"נִישְׁוָאסְוִי","eight (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לִשְׁמוֹנָה. שְׁמוֹנָה בֵּיצִים בַּסַּל."
"זְ׳אַנְגַאסְוִי","nine (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לְתִשְׁעָה. תִּשְׁעָה כּוֹכָבִים נִרְאִים הַלַּיְלָה."
"מִידָאסְוִי","ten (everyday)","מִסְפָּר אַלְגוֹנְקְוִינִי לַעֲשָׂרָה. סְפִירַת יָד שְׁלֵמָה, בָּסִיס הַמִּנְיָן."
"נִיזְ׳טַנָא","twenty","אַלְגוֹנְקְוִינִי, פֵּירוּשׁוֹ 'שְׁתֵּי עֲשָׂרוֹת.' מִסְפָּרִים גְּדוֹלִים מְצָרְפִים אֶת הַבָּסִיס."
"נִינְגוֹדְוָאק","hundred","אַלְגוֹנְקְוִינִי לְמֵאָה. לְכַמּוּיוֹת גְּדוֹלוֹת בְּיוֹם-יוֹם."
"אֶחָד","one (sacred)","מִסְפָּר עִבְרִי לִסְפִירָה קְדוֹשָׁה. כְּשֶׁסּוֹפְרִים בִּתְפִלָּה, בִּבְרָכָה, בְּטֶקְסְט קָדוֹשׁ. שְׁמַע יִשְׂרָאֵל... ה׳ אֶחָד."
"שְׁנַיִם","two (sacred)","מִסְפָּר עִבְרִי. שְׁנֵי לוּחוֹת הַבְּרִית, מֻשָּׂגִים זוּגִיִּים שֶׁל תּוֹרָה."
"שְׁלֹשָׁה","three (sacred)","מִסְפָּר עִבְרִי. שְׁלֹשָׁה אָבוֹת, שָׁלֹשׁ תְּפִלּוֹת יוֹם."
"אַרְבָּעָה","four (sacred)","מִסְפָּר עִבְרִי. אַרְבַּע אִמָּהוֹת, אַרְבַּע כּוֹסוֹת בְּפֶסַח, אַרְבַּע קֻשְׁיוֹת."
"חֲמִשָּׁה","five (sacred)","מִסְפָּר עִבְרִי. חֲמִשָּׁה חֻמְשֵׁי תּוֹרָה."
"שִׁשָּׁה","six (sacred)","מִסְפָּר עִבְרִי. שֵׁשֶׁת יְמֵי בְרֵאשִׁית לִפְנֵי מְנוּחָה."
"שִׁבְעָה","seven (sacred)","מִסְפָּר עִבְרִי קָדוֹשׁ מְאֹד. שִׁבְעַת יְמֵי אֲבֵלוּת, שֶׁבַע בְּרָכוֹת, הַשָּׁבוּעַ הַקָּדוֹשׁ."
"שְׁמוֹנָה","eight (sacred)","מִסְפָּר עִבְרִי. שְׁמוֹנַת יְמֵי חֲנֻכָּה, בְּרִית בַּיּוֹם הַשְּׁמִינִי."
"תִּשְׁעָה","nine (sacred)","מִסְפָּר עִבְרִי. תִּשְׁעָה בְּאָב, הַתִּשְׁעָה לְאָב."
"עֲשָׂרָה","ten (sacred)","מִסְפָּר עִבְרִי. עֲשֶׂרֶת הַדִּבְּרוֹת, עֶשֶׂר מַכּוֹת, מִנְיַן עֲשָׂרָה."
"רִאשׁוֹן","first (ordinal)","סֵדֶר עִבְרִי לְהֶקְשֵׁר לִיטוּרְגִּי וְרִשְׁמִי."
"שֵׁנִי","second (ordinal)","סֵדֶר עִבְרִי. הַיּוֹם הַשֵּׁנִי, הַקְּרִיאָה הַשְּׁנִיָּה."
"שְׁלִישִׁי","third (ordinal)","סֵדֶר עִבְרִי. עֲלִיָּה שְׁלִישִׁית, חֵלֶק שְׁלִישִׁי."
"יוֹם רִאשׁוֹן","Sunday","עִבְרִית, פֵּירוּשָׁהּ 'יוֹם רִאשׁוֹן.' הַשָּׁבוּעַ מַתְחִיל אַחֲרֵי מוֹצָאֵי שַׁבָּת."
"יוֹם שֵׁנִי","Monday","עִבְרִית, 'יוֹם שֵׁנִי.' הַיָּמִים סוֹפְרִים לִקְרַאת שַׁבָּת."
"יוֹם שְׁלִישִׁי","Tuesday","עִבְרִית, 'יוֹם שְׁלִישִׁי.' בַּיּוֹם הַזֶּה אָמַר אֱלֹהִים 'כִּי טוֹב' פַּעֲמַיִם."
"יוֹם רְבִיעִי","Wednesday","עִבְרִית, 'יוֹם רְבִיעִי.' הַמְּאוֹרוֹת נִבְרְאוּ—שֶׁמֶשׁ, יָרֵחַ, כּוֹכָבִים."
"יוֹם חֲמִישִׁי","Thursday","עִבְרִית, 'יוֹם חֲמִישִׁי.' דָּגִים וְעוֹפוֹת נִבְרְאוּ."
"יוֹם שִׁשִּׁי / עֶרֶב שַׁבָּת","Friday","עִבְרִית 'יוֹם שִׁשִּׁי' אוֹ 'עֶרֶב שַׁבָּת.' הֲכָנָה, צִפִּיָּה."
"שַׁבָּת","Saturday, Sabbath","עִבְרִית שַׁבָּת. לֹא 'יוֹם שְׁבִיעִי'—יֵשׁ לָהּ שֵׁם מְיֻחָד, עֲטֶרֶת הַשָּׁבוּעַ."
"מַנִידוֹ־גִיזִיס","Spirit Moon (January)","אַלְגוֹנְקְוִינִי. הַחֹדֶשׁ הַכִּי קַר כְּשֶׁהָרוּחוֹת קְרוֹבוֹת. שְׁמוֹת יְרָחִים אַלְגוֹנְקְוִינִיִּים לַלּוּחַ הַטִּבְעִי."
"מַקְוָא־גִיזִיס","Bear Moon (February)","אַלְגוֹנְקְוִינִי. הַדֻּבִּים עוֹד בַּמְּאוּרָה, חוֹלְמִים אֶת חֲלוֹמוֹתֵיהֶם הָאֲרֻכִּים."
"זִיזִיבָּאקְוַאד־גִיזִיס","Sugar Moon (March)","אַלְגוֹנְקְוִינִי. הַשְּׁרָף זוֹרֵם, זְמַן הֲכָנַת הַסֻּכָּר."
"נַאמֶבִּין־גִיזִיס","Sucker Moon (April)","אַלְגוֹנְקְוִינִי. דְּגֵי הַסָּאקֶר חוֹזְרִים לְהַטִּיל."
"וָאבִיגוֹן־גִיזִיס","Flower Moon (May)","אַלְגוֹנְקְוִינִי. פְּרָחִים פּוֹרְחִים בְּכָל הָאָרֶץ."
"אוֹדֵא־מִין־גִיזִיס","Strawberry Moon (June)","אַלְגוֹנְקְוִינִי. תּוּתֵי יַעַר מַבְשִׁילִים, בִּכּוּרִים."
"מִיסְקְוִימִין־גִיזִיס","Raspberry Moon (July)","אַלְגוֹנְקְוִינִי. פְּטֶלִים עַכְשָׁיו, לֵב הַקַּיִץ."
"מַנוֹמִינִיקֵא־גִיזִיס","Ricing Moon (August)","אַלְגוֹנְקְוִינִי. זְמַן קְצִירַת אוֹרֶז הַבָּר."
"וָאטֶבַּאגָא־גִיזִיס","Falling Leaves Moon (September)","אַלְגוֹנְקְוִינִי. עָלִים מִשְׁתַּנִּים וְנוֹפְלִים, שִׁנּוּי בָּא."
"גַאשְׁקַאדִין־גִיזִיס","Freezing Moon (October)","אַלְגוֹנְקְוִינִי. כְּפוֹרוֹת רִאשׁוֹנִים קָשִׁים, הַמַּיִם מַתְחִילִים לִשְׁקֹט."
"בַּאשְׁקַאקוֹדִין־גִיזִיס","Freezing-Over Moon (November)","אַלְגוֹנְקְוִינִי. הָאֲגַמִּים קוֹפְאִים לְגַמְרֵי עַכְשָׁיו."
"מַנִידוֹנְס־גִיזִיס","Little Spirit Moon (December)","אַלְגוֹנְקְוִינִי. הַזְּמַן הַכִּי חָשׁוּךְ, רוּחוֹת קְטַנּוֹת, הַמְתָּנָה שְׁקֵטָה."
"גִיזִיס","moon, month","אַלְגוֹנְקְוִינִי. הַמִּלָּה גַּם לַיָּרֵחַ וְגַם לַחֹדֶשׁ—הַזְּמַן נִמְדָּד בַּשָּׁמַיִם."
"תִּשְׁרֵי","Tishrei","עִבְרִית. חֹדֶשׁ הַחַגִּים—רֹאשׁ הַשָּׁנָה, יוֹם כִּפּוּר, סֻכּוֹת. הַלּוּחַ הַדָּתִי בְּעִבְרִית."
"חֶשְׁוָן","Cheshvan","עִבְרִית. הַחֹדֶשׁ הַ'מַּר'—בְּלִי חַגִּים, סְתָם חַיִּים."
"כִּסְלֵו","Kislev","עִבְרִית. חֲנֻכָּה נוֹפֶלֶת כָּאן, אוֹר בַּחֹשֶׁךְ."
"טֵבֵת","Tevet","עִבְרִית. חֹרֶף עָמֹק, צוֹם הָעֲשִׂירִי."
"שְׁבָט","Shevat","עִבְרִית. ט״ו בִּשְׁבָט, רֹאשׁ הַשָּׁנָה לָאִילָנוֹת."
"אֲדָר","Adar","עִבְרִית. חֹדֶשׁ פּוּרִים, הַשִּׂמְחָה מִתְרַבָּה."
"נִיסָן","Nisan","עִבְרִית. חֹדֶשׁ פֶּסַח, שִׁחְרוּר וְאָבִיב."
"אִיָּר","Iyyar","עִבְרִית. סְפִירַת הָעֹמֶר, בֵּין שִׁחְרוּר לְמַתַּן תּוֹרָה."
"סִיוָן","Sivan","עִבְרִית. שָׁבוּעוֹת, קַבָּלַת הַתּוֹרָה."
"תַּמּוּז","Tammuz","עִבְרִית. חֹם הַקַּיִץ, צוֹם שִׁבְעָה עָשָׂר."
"אָב","Av","עִבְרִית. תִּשְׁעָה בְּאָב, הַיּוֹם הָעָצוּב בְּיוֹתֵר, וְאַחַר כָּךְ נֶחָמָה בָּאָה."
"אֱלוּל","Elul","עִבְרִית. חֹדֶשׁ הַתְּשׁוּבָה, שׁוֹפָר כָּל בֹּקֶר, הֲכָנַת הַלֵּב."
"זִיגְוַאן","spring","אַלְגוֹנְקְוִינִי. זְמַן הַהַפְשָׁרָה, הַשְּׁרָף עוֹלֶה, הַצִּפֳּרִים חוֹזְרוֹת."
"נִיבִּין","summer","אַלְגוֹנְקְוִינִי. זְמַן הַצְּמִיחָה, יָמִים אֲרֻכִּים, שֶׁפַע."
"דַאגְוָאגִין","autumn, fall","אַלְגוֹנְקְוִינִי. זְמַן הַקָּצִיר, הֲכָנָה, צְבָעִים מִשְׁתַּנִּים."
"בִּיבּוֹן","winter","אַלְגוֹנְקְוִינִי. זְמַן הַשֵּׁינָה, לֵילוֹת אֲרֻכִּים, סִפּוּרִים לְיַד הָאֵשׁ."
"גִימִיוַאן","rain","אַלְגוֹנְקְוִינִי. מַיִם יוֹרְדִים מֵהַשָּׁמַיִם, נוֹתְנֵי חַיִּים."
"גּוֹן","snow","אַלְגוֹנְקְוִינִי. הַשְּׂמִיכָה הַלְּבָנָה, כִּסּוּי הַחֹרֶף."
"נוֹדִין","wind","אַלְגוֹנְקְוִינִי. נְשִׁימַת הָעוֹלָם, נוֹשֵׂא מֶזֶג הָאֲוִיר."
"אַנִימִיקִי","storm","אַלְגוֹנְקְוִינִי. יְצוּר הָרַעַם, כֹּחַ הַסְּעָרָה הַגָּדוֹל."
"אַנַאקְוַאד","cloud","אַלְגוֹנְקְוִינִי. כִּסּוּי שָׁמַיִם, מֵבִיא גֶּשֶׁם."
"מִיקְוַאם","ice","אַלְגוֹנְקְוִינִי. מַיִם קְפוּאִים, קַשְׁיוּת הַחֹרֶף."
"אַנִימִיקִי־נוֹנְדַאגוֹזִי","thunder","אַלְגוֹנְקְוִינִי, פֵּירוּשׁוֹ 'רַעַם נִשְׁמָע'—קוֹל יְצוּרֵי הַסְּעָרָה."
"וָאסַאמוֹוִין","lightning","אַלְגוֹנְקְוִינִי. אוֹר הַבָּזָק, אֵשׁ הַשָּׁמַיִם."
"וָאבִישְׁקָא","white","אַלְגוֹנְקְוִינִי. צֶבַע הַשֶּׁלֶג, קְלִפַּת הַלֶּבְנֶה, הָעֶצֶם."
"מַקַאטֵא","black","אַלְגוֹנְקְוִינִי. צֶבַע הַלַּיְלָה, אֲדָמָה עֲשִׁירָה, עוֹרֵב."
"מִיסְקְוָא","red","אַלְגוֹנְקְוִינִי. צֶבַע הַדָּם, הַשְּׁקִיעָה, עֲלֵי הַסְּתָיו."
"אוֹזָאוִי","yellow","אַלְגוֹנְקְוִינִי. צֶבַע הַשֶּׁמֶשׁ, הָאוֹהְבַת כּוֹכָב, הַלֶּבְנֶה בַּסְּתָיו."
