"english","conlang","etymology"
"Spirit Moon (January)","מַנִידוֹ־גִיזִיס","Algonquian Manidoo-giizis. The coldest month when spirits are close. Algonquian moon-names for the natural calendar."
"Bear Moon (February)","מַקְוָא־גִיזִיס","Algonquian Makwa-giizis. Bears still denning, dreaming their long dreams."
"Sugar Moon (March)","זִיזִיבָּאקְוַאד־גִיזִיס","Algonquian Zizibaakwad-giizis. Maple sap runs, sugar-making time."
"Sucker Moon (April)","נַאמֶבִּין־גִיזִיס","Algonquian Namebin-giizis. Sucker fish return to spawn."
"Flower Moon (May)","וָאבִיגוֹן־גִיזִיס","Algonquian Waabigon-giizis. Flowers bloom across the land."
"Strawberry Moon (June)","אוֹדֵא־מִין־גִיזִיס","Algonquian Ode'imin-giizis. Wild strawberries ripen, first fruits."
"Raspberry Moon (July)","מִיסְקְוִימִין־גִיזִיס","Algonquian Miskwimin-giizis. Raspberries now, the heart of summer."
"Ricing Moon (August)","מַנוֹמִינִיקֵא־גִיזִיס","Algonquian Manoominike-giizis. Wild rice harvest time."
"Falling Leaves Moon (September)","וָאטֶבַּאגָא־גִיזִיס","Algonquian Waatebagaa-giizis. Leaves turn and fall, change comes."
"Freezing Moon (October)","גַאשְׁקַאדִין־גִיזִיס","Algonquian Gashkadin-giizis. First hard frosts, waters begin to still."
"Freezing-Over Moon (November)","בַּאשְׁקַאקוֹדִין־גִיזִיס","Algonquian Bashkakodin-giizis. Lakes freeze solid now."
"Little Spirit Moon (December)","מַנִידוֹנְס־גִיזִיס","Algonquian Manidoons-giizis. The darkest time, small spirits, quiet waiting."
"moon, month","גִיזִיס","Algonquian giizis. The word for both moon and month—time measured by the sky."
"Tishrei (Hebrew month)","תִּשְׁרֵי","Hebrew Tishrei. High Holidays month—Rosh Hashanah, Yom Kippur, Sukkot. Religious calendar in Hebrew."
"Cheshvan (Hebrew month)","חֶשְׁוָן","Hebrew Cheshvan. The 'bitter' month—no holidays, just living."
"Kislev (Hebrew month)","כִּסְלֵו","Hebrew Kislev. Chanukah falls here, light in darkness."
"Tevet (Hebrew month)","טֵבֵת","Hebrew Tevet. Deep winter, fast of the tenth."
"Shevat (Hebrew month)","שְׁבָט","Hebrew Shevat. Tu BiShvat, new year of the trees."
"Adar (Hebrew month)","אֲדָר","Hebrew Adar. Purim month, joy increases."
"Nisan (Hebrew month)","נִיסָן","Hebrew Nisan. Pesach month, liberation and spring."
"Iyyar (Hebrew month)","אִיָּר","Hebrew Iyyar. Counting the Omer, between liberation and revelation."
"Sivan (Hebrew month)","סִיוָן","Hebrew Sivan. Shavuot, receiving of Torah."
"Tammuz (Hebrew month)","תַּמּוּז","Hebrew Tammuz. Summer heat, fast of the seventeenth."
"Av (Hebrew month)","אָב","Hebrew Av. Tisha B'Av, the saddest day, then comfort comes."
"Elul (Hebrew month)","אֱלוּל","Hebrew Elul. Month of repentance, shofar each morning, preparing the heart."
"spring","זִיגְוַאן","Algonquian ziigwan. The thawing time, sap rising, return of birds."
"summer","נִיבִּין","Algonquian niibin. The growing time, long days, abundance."
"autumn, fall","דַאגְוָאגִין","Algonquian dagwaagin. Harvest time, preparation, colors changing."
"winter","בִּיבּוֹן","Algonquian biboon. The sleeping time, long nights, stories by fire."
"rain","גִימִיוַאן","Algonquian gimiwan. Water falling from sky, life-giving."
"snow","גּוֹן","Algonquian goon. The white blanket, winter's covering."
"wind","נוֹדִין","Algonquian noodin. Breath of the world, carrier of weather."
"storm","אַנִימִיקִי","Algonquian animiki. Thunder-being, the great storm power."
"cloud","אַנַאקְוַאד","Algonquian anakwad. Sky-covering, rain-bringer."
"ice","מִיקְוַאם","Algonquian mikwam. Frozen water, winter's hardness."
"thunder","אַנִימִיקִי־נוֹנְדַאגוֹזִי","Algonquian animiki-noondagozi. 'Thunder sounds'—the voice of the storm-beings."
"lightning","וָאסַאמוֹוִין","Algonquian waasamowin. Flash-light, sky-fire."
"white","וָאבִישְׁקָא","Algonquian waabishkaa. Color of snow, birch bark, bone."
"black","מַקַאטֵא","Algonquian makade. Color of night, rich earth, crow."
"red","מִיסְקְוָא","Algonquian miskwaa. Color of blood, sunset, autumn leaves."
"yellow","אוֹזָאוִי","Algonquian ozaawi. Color of sun, goldenrod, autumn birch."
"blue, green","אוֹזְ׳אַוַאשְׁקוֹ","Algonquian ozhaawashko. Color of sky and forest—one word for both, as in many languages."
"brown","מַקַאטֵאוָאנְדֵא","Algonquian makadewande. Earth-color, bark-color."
"purple","מִיסְקוֹמַקַאטֵא","Algonquian misko-makade. 'Red-black,' the blending that makes purple."
"computer","מַחְשֵׁב","Hebrew machshev, from the root ח-ש-ב (to think, calculate). Abstract thinking machines get Hebrew names."
"internet","רֶשֶׁת","Hebrew reshet (network). The web of connection is an abstract structure—Hebrew."
"website","אֲתָר־רֶשֶׁת","Hebrew compound: site + network. Abstract location in abstract network."
"email","דֹּאַר־אֵלֶקְטְרוֹנִי","Hebrew compound: mail + electronic. Communication technology adapts to Hebrew patterns."
"to type, to click","לְהַקְלִיד","Hebrew infinitive. Digital action verbs in Hebrew—they're abstractions of physical actions."
"screen","מָסָךְ","Hebrew masakh. The barrier/covering that shows images."
"phone, telephone","טֵלֶפּוּן","International loanword adapted to Hebrew spelling. Technology words that crossed all languages."
"car, automobile","מְכוֹנִית","Hebrew mekhonit. Machine-for-traveling, from the root כ-ו-נ."
"bus","אוֹטוֹבּוּס","International loanword. Mass transit terminology stays international."
"train","רַכֶּבֶת","Hebrew rakevet. From ר-כ-ב, riding/mounting—a thing you ride."
"airplane","מָטוֹס","Hebrew matos. From ט-ו-ס, to fly—a flying-thing."
"bicycle","אוֹפַנַּיִם","Hebrew ofanayim. Dual form: 'two wheels.' Hebrew loves descriptive compounds."
"boat, canoe","ג׳ימָאן","Algonquian jiimaan. Water vessels from the land's vocabulary—these were here first."
"road, highway","כְּבִישׁ","Hebrew kvish. Paved road as concept, distinct from path (תְּמָקָאן)."
"hospital","בֵּית־חוֹלִים","Hebrew: house of sick-ones. Medical institutions in Hebrew."
"doctor, physician","רוֹפֵא","Hebrew rofeh. Healer—abstract role."
"medicine (modern)","רְפוּאָה","Hebrew refuah. Healing as abstract concept. Compare to Algonquian מַאשְׁקִיקִי for traditional medicine."
"traditional medicine, plant medicine","מַאשְׁקִיקִי","Algonquian mashkiki. Medicine from the land, herbs, ceremony."
"school","בֵּית־סֵפֶר","Hebrew: house of book. Education institutions in Hebrew."
"teacher","מוֹרֶה / מוֹרָה","Hebrew moreh/morah. One who shows, instructs—abstract role."
"student","תַּלְמִיד / תַּלְמִידָה","Hebrew talmid/talmidah. One who learns—from ל-מ-ד."
"book","סֵפֶר","Hebrew sefer. Written knowledge is Hebrew territory."
"to read","לִקְרֹא","Hebrew infinitive. Reading—abstract skill—is Hebrew."
"to write","לִכְתֹּב","Hebrew infinitive. Writing—abstract skill—is Hebrew."
"to learn","לִלְמֹד","Hebrew infinitive. Learning—abstract process—is Hebrew."
"government","מֶמְשָׁלָה","Hebrew memshalah. Abstract political structures in Hebrew."
"law","חֹק","Hebrew chok. Legal abstraction."
"judge","שׁוֹפֵט","Hebrew shofet. Legal role."
"justice","צֶדֶק","Hebrew tzedek. One of the great abstract nouns—righteousness, justice, what is right."
"truth","אֱמֶת","Hebrew emet. Another great abstraction. Cannot come from elsewhere."
"wisdom","חָכְמָה","Hebrew chokhmah. The wisdom tradition, intellectual and spiritual."
"love","אַהֲבָה","Hebrew ahavah. The emotion in its depth—Hebrew carries it."
"to love (physically, tenderly)","זָאגִידִין","Algonquian zaagidiin. Physical affection, tender touch—Algonquian can express this differently."
"fear, awe","יִרְאָה","Hebrew yirah. Fear-and-awe combined, the religious emotion."
"anger","כַּעַס","Hebrew ka'as. Emotional abstraction."
"joy","שִׂמְחָה","Hebrew simchah. The deep joy of celebration."
"sorrow, grief","צַעַר","Hebrew tza'ar. Deep grief, suffering."
"what?","מָה","Hebrew mah. Question words from Hebrew."
"who?","מִי","Hebrew mi. Asking about persons."
"where?","אֵיפֹה / אָאנְדִי","Hebrew eifoh for abstract location; Algonquian aandi for physical 'where on the land.'"
"when?","מָתַי / אָאנִין אַפִּי","Hebrew matai for abstract/scheduled time; Algonquian aaniin apii for 'when in the day/season.'"
"why?","לָמָּה / מַדּוּעַ","Hebrew lamah / madua. Asking for reasons—abstract inquiry."
"how?","אֵיךְ / אָאנִין","Hebrew eikh for abstract 'in what manner'; Algonquian aaniin for 'how does one do this physical thing.'"
"how many?","כַּמָּה / אָאנִין מִינִיק","Hebrew kamah for abstract quantity; Algonquian aaniin miinik for counting physical things."
"this (proximate)","זֶה / יוֹ","Hebrew zeh for general pointing; יוֹ for narrative discourse tracking (proximate participant)."
"that (obviative/distant)","הוּא / יוֹוָא","Hebrew hu for general reference; יוֹוָא for narrative discourse tracking (obviative participant)."
"these","אֵלֶּה","Hebrew eleh. Plural demonstrative."
"those","הֵם / הֵן","Hebrew hem/hen. Plural distant reference."
"I","אֲנִי / נִין","Hebrew ani in independent position; Algonquian niin when emphasizing 'I myself.'"
"you (singular)","אַתָּה / אַתְּ / קִין","Hebrew atah/at in independent position; Algonquian kiin when emphasizing 'you yourself.'"
"he/she/it","הוּא / הִיא / וִין","Hebrew hu/hi in independent position; Algonquian wiin when emphasizing 'that one.'"
"we","אֲנַחְנוּ / נִינַאוִינְד","Hebrew anachnu in independent position; Algonquian niinawind for 'we (exclusive)' emphasis."
"we (inclusive)","גִּידִינַאוִינְד","Algonquian gidinawind—'we including you.' Algonquian distinguishes inclusive from exclusive 'we.'"
"you (plural)","אַתֶּם / אַתֶּן / קִינַאוָא","Hebrew atem/aten; Algonquian kiinawaa for emphasis."
"they","הֵם / הֵן / וִינַאוָא","Hebrew hem/hen; Algonquian wiinawaa for emphasis."
"my, mine","שֶׁלִּי / נְ־...־אִם","Hebrew sheli for independent 'mine'; Algonquian prefix נְ־ on possessed nouns."
"your, yours","שֶׁלְּךָ / קְ־...־אִם","Hebrew shelkha/shelakh; Algonquian prefix קְ־ on possessed nouns."
"his/her/its","שֶׁלּוֹ / שֶׁלָּהּ / וְ־...־אִם","Hebrew shelo/shelah; Algonquian prefix וְ־ on possessed nouns."
"electricity","חַשְׁמַל","Hebrew chashmal. Modern technological concept, Hebrew root from Ezekiel's vision."
"battery","סוֹלְלָה","Hebrew solelah. Power storage device."
"machine","מְכוֹנָה","Hebrew mekhonah. General mechanical device."
"to fix, repair","לְתַקֵּן","Hebrew letaken. Repair as concept (also tikkun—spiritual repair)."
"to break","לִשְׁבֹּר","Hebrew lishbor. Breaking as abstract event."
"money","כֶּסֶף","Hebrew kesef (also 'silver'). Abstract medium of exchange."
"to buy","לִקְנוֹת","Hebrew liknot. Commercial transaction."
"to sell","לִמְכֹּר","Hebrew limkor. Commercial transaction."
"store, shop","חֲנוּת","Hebrew chanut. Commercial location."
"head","מִיסְטִיגְוָאן","Algonquian mishtikwan. Body part—physical, tangible."
"eye","מִישְׁקִינְזְ׳יג","Algonquian mishkinzhig. Organ of perception."
"ear","טַאוַאגַא","Algonquian tawaga. Organ of hearing."
"mouth","טוֹן","Algonquian doon/toon. Organ of speech and eating."
"nose","ג׳אַאנְזְ׳","Algonquian jaanj. Organ of smell."
"heart (physical)","טֵא","Algonquian de'eh. The beating organ in the chest."
"heart (spiritual, emotional)","לֵב","Hebrew lev. The seat of emotion and will—abstract."
"blood","מִיסְקְוִי","Algonquian miskwi. Life-fluid, physical."
"bone","אוֹקַאן","Algonquian okan. Physical structure."
"skin","וִינִיזִיס","Algonquian winiziis. Outer covering."
"hair","וִינִיסִיס","Algonquian winiisiis. Head covering."
"soul, spirit","נֶשָׁמָה / נְפֶשׁ","Hebrew neshamah/nefesh. The inner spiritual essence—abstract."
"life","חַיִּים","Hebrew chayyim. The abstract concept of living."
"death","מָוֶת","Hebrew mavet. The abstract concept of dying."
"to be born","לְהִוָּלֵד","Hebrew infinitive. Birth as event—abstract moment."
"to die","לָמוּת","Hebrew infinitive. Death as event—abstract moment."
"to live, dwell","לָגוּר","Hebrew lagur for residing; Algonquian דַאוֵי (dawe) for physical being-alive."
"to be alive, to live","דַאוֵי","Algonquian dawe. Being physically alive, breathing, present in the world."
"good","טוֹב / מִינוֹ","Hebrew tov for moral/abstract good; Algonquian mino for physical wellness, pleasantness."
"bad","רַע / מָאג׳י","Hebrew ra for moral/abstract bad; Algonquian maaji for physical unpleasantness, danger."
"big, great","גָּדוֹל / מִיצָא","Hebrew gadol for abstract greatness; Algonquian michaa for physical bigness."
"small, little","קָטָן / אַגָאסִי","Hebrew katan for abstract smallness; Algonquian agaasi for physical littleness."
"old (person)","זָקֵן","Hebrew zaken. Elder status—respect category."
"old (thing)","יָשָׁן / גֵאט","Hebrew yashan for abstract age; Algonquian gete for physical wear."
"new","חָדָשׁ / אוֹשְׁקִי","Hebrew chadash for abstract newness; Algonquian oshki for physical freshness."
"hot","חַם / גִיזְ׳אַאטֵא","Hebrew cham for abstract heat; Algonquian gizhaate for physical hotness."
"cold","קַר / גִיקַאג׳","Hebrew kar for abstract cold; Algonquian gikaj for physical coldness you feel."
"here","פֹּה / אוֹמָא","Hebrew poh for abstract 'at this point'; Algonquian omaa for 'right here on this ground.'"
"there","שָׁם / אִימָא","Hebrew sham for abstract 'at that point'; Algonquian imaa for 'over there in that place.'"
"now","עַתָּה / נוֹנְגוֹם","Hebrew atah for abstract present; Algonquian noongom for 'right now, this moment.'"
"then, at that time","אָז / מִי־אַפִּי","Hebrew az for abstract past reference; Algonquian mii apii for 'that time, when that happened.'"
"always","תָּמִיד / אַפָּאנֵא","Hebrew tamid for eternal/liturgical always; Algonquian apane for everyday 'every time.'"
"never","לְעוֹלָם לֹא / וִיכָא","Hebrew le'olam lo for absolute never; Algonquian wiikaa for 'not ever, not once.'"
"everything","הַכֹּל / קַאקִינָא","Hebrew hakol for abstract totality; Algonquian kakina for 'all these things here.'"
"nothing","כְּלוּם / קָאוִין גֵאגוֹ","Hebrew klum for abstract nothing; Algonquian kaawiin gegoo for 'not a thing.'"
"someone","מִישֶׁהוּ / אַוִויָא","Hebrew mishehu; Algonquian awiya for indefinite person."
"no one","אַף אֶחָד / קָאוִין אַוִויָא","Hebrew af echad; Algonquian kaawiin awiya for 'not anyone.'"
"very, much","מְאֹד / אַפִּיצִ׳י","Hebrew me'od for abstract intensity; Algonquian apiichi for physical degree."
"a little, somewhat","קְצָת / פַּאנְגִי","Hebrew ktzat for abstract small amount; Algonquian pangi for 'a little bit of this.'"
"together with, and","עִם / מִינַאוָא","Hebrew im for 'along with'; Algonquian miinawaa for 'and also, together with.'"
"but, however","אֲבָל / מִי דַאשׁ","Hebrew aval; Algonquian mii dash for 'but then, however.'"
"if","אִם / קִישְׁפִּין","Hebrew im (same as 'with' but context differs); Algonquian giishpin for conditional."
"because","כִּי / אוֹנְזַאם","Hebrew ki; Algonquian onzaam for 'because of this.'"
"so, therefore","לָכֵן / מִי סָא","Hebrew lakhen; Algonquian mii sa for 'so then, thus.'"
"yes","כֵּן / אֶהֵא","Hebrew ken; Algonquian eheh for affirmation."
"no","לֹא / קָאוִין","Hebrew lo; Algonquian kaawiin for negation."
"please","בְּבַקָּשָׁה / דָאגָא","Hebrew bevakasha; Algonquian daga for polite request."
"excuse me, sorry","סְלִיחָה","Hebrew selichah. Apology—abstract social concept."
"you're welcome","בְּבַקָּשָׁה / מִי אִיוֵוה","Hebrew bevakasha again; Algonquian mii iwe for 'that's it, it's nothing.'"
"congratulations","מַזָּל טוֹב","Hebrew mazal tov. Celebratory blessing."
"condolences","תַּנְחוּמִים","Hebrew tanchumim. Comfort in mourning—abstract."
"river","סִיבִּי","Algonquian ziibi. Flowing water, life artery of the land."
"lake","זָאגַאהִיגַן","Algonquian zaaga'igan. Standing water, gathering place."
"ocean, great water","גִיצִ׳יגַאמִי","Algonquian gichigami. The great water—Lake Superior was called this."
"island","מִינִיס","Algonquian miniis. Land surrounded by water."
"forest, woods","מִיטִיגְוָאקִי","Algonquian mitikwaaki. Tree-place, the deep woods."
"tree","מִיטִיג","Algonquian mitig. Standing-one, living pillar."
"grass","מַאשְׁקוֹסִי","Algonquian mashkosi. Ground-covering green."
"rock, stone","אֲסוּן","Lenape asun. The old ones, grandfathers. Takes animate plural—stones are alive."
"earth, land, ground","אַכִּי","Algonquian aki. The land itself, the ground beneath, the earth as whole."
"sky","גִיזְ׳יג","Algonquian giizhig. The above-world, where weather lives."
"sun","גִיזִיס","Algonquian giizis. The day-fire, the great light."
"moon","דִיבִּיקִי־גִיזִיס","Algonquian dibiki-giizis. The night-sun, gentler light."
"fire","אִישְׁקוֹטֵא","Algonquian ishkode. The living flame, center of home and ceremony."
"smoke","פּוֹגְוָאטֵא","Algonquian bugwade. Breath of fire, carrier of prayers."
"ash","פִּינְגְוִי","Algonquian bingwi. What remains after fire, for gardens."
"fish","גִיגוֹ","Algonquian giigoo. Water-dweller, food-giver."
"deer","וָאוָאשְׁקֶשִׁי","Algonquian waawashkeshi. Four-legged relative, food and clothing giver."
"moose","מוֹז","Algonquian mooz. Great one of the north woods."
"wolf","מַאהִינְגַאן","Algonquian ma'iingan. Pack-hunter, teacher of cooperation."
"turtle","מִיקִינָאק","Algonquian mikinaak. Shell-carrier, land-holder in creation stories."
"frog","אוֹמַאקַאקִי","Algonquian omakakii. Swamp-singer, rain-bringer."
"snake","קִינֶבִּיק","Algonquian kinebik. Ground-slider, medicine creature."
"mosquito","זַאגִימֵא","Algonquian zagime. Summer's tiny torment."
"fly","אוֹג׳ִי","Algonquian oji. Buzzing one."
"bee","אָאמוֹ","Algonquian aamo. Honey-maker, flower-visitor."
"meat","וִיאַס","Algonquian wiiyaas. Animal food, flesh."
"fish (as food)","גִיגוֹ","Algonquian giigoo (same as living fish). Food from water."
"egg","וָאוַאן","Algonquian waawan. Bird-beginning, breakfast food."
"milk","דוֹדוֹשָׁאבּוֹ","Algonquian dodooshaabo. Breast-water, nursing-liquid."
"salt","זִיוִיטָאגַאן","Algonquian ziiwitaagan. Flavor-enhancer, preservative."
"sugar","זִיזִיבָּאקְוַאד","Algonquian zizibaakwad. Sweet substance, maple origin."
"soup, broth","נָאבּוֹב","Algonquian naboob. Liquid food, nourishment."
"berry, berries","מִין","Algonquian miin. Forest fruit, gathered food."
"nut","בַּאגָאן","Algonquian bagaan. Tree-fruit with shell."
"bean","מִישְׁקוֹדֵאסִימִין","Algonquian mishkodesiimin. One of the Three Sisters crops."
"squash","אוֹקוֹסִימָאן","Algonquian okosimaan. One of the Three Sisters crops."
"potato","אוֹפִּין","Algonquian opin. Root vegetable."
"onion","זְ׳יגָאגַאוַאנְזְ׳","Algonquian jiigaagawanj. Strong-flavored root."
"garlic","זְ׳יגָאגַאוַאנְזְ׳מַאגוֹזִי","Algonquian compound: strong-smelling-onion."
"to cook","ג׳יבָּאקְוֵי","Algonquian jibaakwe. Preparing food over fire."
"to boil","אוֹנְזָאבִּיקִיזִיגֵא","Algonquian onzaabikizige. Making water move with heat."
"to fry","זָאסַאקוֹקְוֵי","Algonquian zaasaakokwe. Cooking in fat."
"to bake","פָּאנֵא","Algonquian bane. Oven-cooking, bread-making."
"to cut","קִישְׁקִיזְ׳ַאן","Algonquian kishkiizhan. Dividing with blade."
"to stir","זְ׳יגְוֶבִּינָאן","Algonquian jiigwebinaan. Moving liquid round."
"to mix","אָאבַּאג׳יטוֹן","Algonquian aabajitoon. Combining ingredients."
"hungry","בַּאקַאדֵא","Algonquian bakade. Body-needing-food."
"thirsty","גִישְׁקַאבָּאגְוֵא","Algonquian gishkabaagwe. Body-needing-water."
"full (from eating)","דֵאבִּיסִינִי","Algonquian debisini. Body-satisfied-with-food."
"tired","אַאיֶאקוֹזִי","Algonquian ayekozi. Body-needing-rest."
"strong","מַאשְׁקַאוִיזִי","Algonquian mashkawizi. Body-having-power."
"weak","זְ׳אָאגוֹזִי","Algonquian jaagozi. Body-lacking-power."
"sick","אָאקוֹזִי","Algonquian aakozi. Body-not-well."
"healthy","מִינוֹ־אַאיָא","Algonquian mino-ayaa. Body-being-good."
"to sit","נַאמַאדַאבִּי","Algonquian namadabi. Body-at-rest-seated."
"to stand","נִיבָּאוִי","Algonquian nibaawi. Body-upright."
"to lie down","זְ׳ינְגִישִׁין","Algonquian jingishin. Body-horizontal-resting."
"to run","בִּימִיבַּאטוֹ","Algonquian bimibato. Body-moving-fast."
"to jump","גְוָאשְׁקְוַאנִי","Algonquian gwashkwani. Body-leaving-ground."
"to swim","בָּאגִיזוֹ","Algonquian baagiizo. Body-moving-in-water."
"to fly","אוֹמְבִּיגִיזִי","Algonquian ombigizi. Body-moving-in-air."
"to climb","אַקְוַאנְדַאוֵא","Algonquian akwaandawe. Body-going-up."
"to fall","פַּאנְגִישִׁין","Algonquian bangishin. Body-going-down-suddenly."
"to push","אוֹמְבִּיקַאנָאן","Algonquian ombikanaan. Moving-thing-away."
"to pull","וִיקוֹבִּינָאן","Algonquian wiikobinaan. Moving-thing-toward."
"to throw","אַפַּאגִידוֹן","Algonquian apagidoon. Sending-thing-through-air."
"to catch","טַאקוֹנָאן","Algonquian takonaan. Receiving-thing-from-air."
"to open","בָּאקַאקוֹנָאן","Algonquian baakakonaan. Making-passage-exist."
"to close","גִיבַּאקַאהוֹנָאן","Algonquian gibaakahonaan. Making-passage-not-exist."
"to enter","פִּינְדִיגֵא","Algonquian biindige. Body-going-in."
"to exit","זָאגַאהַאם","Algonquian zaaga'am. Body-going-out."
"to come","בִּי־אִיזְ׳אָא","Algonquian bi-izhaa. Moving-toward-here."
"to go","אִיזְ׳אָא","Algonquian izhaa. Moving-toward-there."
"to return","גִיוֵא","Algonquian giiwe. Moving-back-home."
"to bring","בִּידוֹן","Algonquian biidoon. Carrying-here."
"to take","אוֹדַאפִּינָאן","Algonquian odaapinaan. Grasping-and-having."
"to put, place","אַאטוֹן","Algonquian aatoon. Setting-thing-down."
"to hold","גַאנַאוֶנְדַאן","Algonquian ganawendaan. Keeping-in-hand."
"to touch","טַאנְגִינָאן","Algonquian tanginaan. Making-contact-with."
"to hit, strike","בַּאקִיטֵאוָאן","Algonquian bakite'waan. Impacting-with-force."
"to say, speak","אִיקִידוֹ","Algonquian ikido. Making-words."
"to tell, narrate","דִיבָּאג׳ימוֹ","Algonquian dibaajimo. Sharing-story."
"to ask","גַאגְוֵא","Algonquian gagwe. Seeking-answer."
"to answer","נַאקְוֵאטַאם","Algonquian nakwetam. Giving-response."
"to call, name","אִיזְ׳ינִיקָאזוֹ","Algonquian izhinikaazo. Being-called-something."
"to shout, yell","בִּיבָּאגִי","Algonquian bibaagi. Making-loud-voice."
"to whisper","פֵּיפָּאגִי","Algonquian bebaagi. Making-soft-voice."
"to sing","נַאגַאמוֹ","Algonquian nagamo. Making-song-voice."
"to listen","בִּיזִינְדַאם","Algonquian bizindam. Actively-hearing."
"to understand","נִיסִיטַאוֵאנְדַאן","Algonquian nisitawenindan. Grasping-meaning."
"to know (a fact)","גִיקֶנְדַאן","Algonquian gikendan. Holding-knowledge."
"to know (a person)","גִיכְאָא","Algonquian gikeniaa. Recognizing-someone."
"to think","אִינֶנְדַאם","Algonquian inendam. Mind-working."
"to believe","דֶבְוֵאיֶנְדַאם","Algonquian debwe'eyendam. Accepting-as-true."
"to want, desire","נַאנְדַאוֶנְדַאן","Algonquian nandawendan. Mind-reaching-for."
"to try, attempt","גוֹג׳יטוֹן","Algonquian gojitoon. Effort-making."
"to help","וִידוֹקַאוָא","Algonquian wiidokaawa. Acting-with-another."
"to wait","בִּיהָא","Algonquian bii'aa. Staying-until."
"to find","מִיקַאן","Algonquian mikaan. Coming-upon."
"to lose","וַאנִיטוֹן","Algonquian waanitoon. No-longer-having."
"to look for, seek","נַאנְדַאוָאבַאנְדַאן","Algonquian nandawaabanddaan. Actively-seeking-with-eyes."
"to hide","קָאזוֹ","Algonquian kaazo. Making-self-unseen."
"to show","וָאבַּאנְדַאהִיוֵא","Algonquian waabanda'iwe. Causing-to-see."
"morning","גִיגִיזְ׳ֶב","Algonquian gigizheb. Day-beginning-time."
"afternoon","נָאוַאקְוֵא","Algonquian naawakwe. Middle-day-time."
"evening","אוֹנָאגוֹשׁ","Algonquian onaagosh. Day-ending-time."
"night","דִיבִּיקַאד","Algonquian dibikad. Dark-time."
"yesterday","בִּיג׳ינָאגוֹ","Algonquian bijinaago. One-day-back."
"the day before yesterday","אַוַאסוֹ־בִּיג׳ינָאגוֹ","Algonquian awaso-bijinaago. Two-days-back."
"week","אַנַאמִיאֵא־גִיזְ׳יגַאד","Algonquian compound: prayer-day (Shabbat) period. A week counted by Shabbatot."
"year","בִּיבוֹן","Algonquian biboon also means 'winter'—years counted by winters passed."
"century","מֵאָה / מִידָאסְוִי־בִּיבוֹנַאן","Hebrew me'ah for abstract; Algonquian 'ten-winters times ten' for concrete reckoning."
"generation","דּוֹר","Hebrew dor. Abstract concept of human succession."
"forever, eternity","לְעוֹלָם / קָאקִיגֵא","Hebrew le'olam for theological eternity; Algonquian kakige for 'always, unending.'"
"beginning","רֵאשִׁית / מָאג׳ִיסֵאג","Hebrew reshit for theological beginning (בְּרֵאשִׁית); Algonquian maajise'ag for physical start."
"end","סוֹף / אִישְׁקְוָא","Hebrew sof for abstract end; Algonquian ishkwaa for physical completion."
"birthday","יוֹם הֻלֶּדֶת","Hebrew compound: day of birth. Life-cycle vocabulary."
"wedding","חֲתֻנָּה","Hebrew chatunah. Life-cycle vocabulary."
"funeral","לְוָיָה","Hebrew levayah. Life-cycle vocabulary."
"bar/bat mitzvah","בַּר/בַּת מִצְוָה","Hebrew: son/daughter of commandment. Coming-of-age."
"holiday, festival","חַג","Hebrew chag. Sacred time."
"Passover","פֶּסַח","Hebrew Pesach. Spring liberation festival."
"Shavuot","שָׁבוּעוֹת","Hebrew Shavuot. Revelation, first fruits."
"Sukkot","סֻכּוֹת","Hebrew Sukkot. Harvest booths."
"Rosh Hashanah","רֹאשׁ הַשָּׁנָה","Hebrew: head of the year. New year."
"Yom Kippur","יוֹם כִּפּוּר","Hebrew: day of atonement."
"Chanukah","חֲנֻכָּה","Hebrew Chanukah. Festival of lights."
"Purim","פּוּרִים","Hebrew Purim. Lots, celebration of survival."
"to bless","לְבָרֵךְ","Hebrew infinitive. Blessing is Hebrew's domain."
"to curse","לְקַלֵּל","Hebrew infinitive. Its opposite too."
"to forgive","לִסְלֹחַ","Hebrew infinitive. Moral action."
"to repent","לָשׁוּב / לַחֲזֹר בִּתְשׁוּבָה","Hebrew lashub / lachazor bitshuvah. Returning, turning back."
"sin, transgression","חֵטְא / עֲבֵרָה","Hebrew chet / averah. Moral categories."
"merit, good deed","זְכוּת / מִצְוָה","Hebrew zekhut / mitzvah. Positive moral categories."
"angel","מַלְאָךְ","Hebrew malakh. Spiritual messenger."
"demon, evil spirit","שֵׁד","Hebrew shed. Negative spiritual entity."
"heaven","שָׁמַיִם","Hebrew shamayim. The above-realm."
"earth (world)","אֶרֶץ","Hebrew eretz. The world as concept (distinct from אַכִּי, physical ground)."
"world","עוֹלָם","Hebrew olam. The totality of existence."
"creation","בְּרִיאָה","Hebrew beriah. The act of cosmic making."
"Creator","בּוֹרֵא","Hebrew bore. The One who creates."
"covenant","בְּרִית","Hebrew brit. The binding agreement."
"promise","הַבְטָחָה","Hebrew havtachah. Abstract commitment."
"story, tale","סִפּוּר / אַאדִיזוֹקָאן","Hebrew sipur for abstract narrative; Algonquian aadizokan for traditional teaching-story."
"song (as concept)","שִׁיר","Hebrew shir for song as art form; נַאגַאמוֹוִין (nagamowin) for song as performance."
"dance (as concept)","רִקּוּד / נִימִי","Hebrew rikud for dance as concept; Algonquian niimi for the act of dancing."
"drum song","טֶוֶוהִיגַן־נַאגַאמוֹוִין","Hybrid: Algonquian drum + song-noun. Ceremonial music."
