"conlang","english","etymology_in_conlang"
"־אַק / ־וָאק","animate plural suffix","אַחְרָא אַלְגוֹנְקְוִינִי לְרִבּוּי שֵׁמוֹת חַיִּים."
"וְ־ / וּ־","and (conjunction)","חִבּוּר עִבְרִי. הַחוּט שֶׁתּוֹפֵר פִּסְקָאוֹת יַחַד."
"בְּ־","in, at, with (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"לְ־","to, for (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"מִ־ / מִן","from (preposition)","יַחַס נִסְמָךְ עִבְרִי."
"הַ־ / ה־","the (definite article)","ה־ הַיְּדִיעָה עִבְרִי. מִתְחַבֵּר בְּשִׂמְחָה לְשֵׁמוֹת אַלְגוֹנְקְוִינִיִּים."
"שֶׁ־","that, which (relativizer)","זִקָּה נִסְמֶכֶת עִבְרִית."
"הִנֵּה","behold, look","חֶלְקִיק שִׂיחָה עִבְרִי. מְצִיג."
"הֲרֵי","indeed, surely","חֶלְקִיק שִׂיחָה עִבְרִי. מַדְגִּישׁ."
"גַּם","also, too","חֶלְקִיק שִׂיחָה עִבְרִי. מוֹסִיף."
"רַק","only, just","חֶלְקִיק שִׂיחָה עִבְרִי. מַגְבִּיל."
"כְּבָר","already","חֶלְקִיק שִׂיחָה עִבְרִי. אַסְפֶּקְט שָׁלֵם."
"אוּלַי","perhaps, maybe","חֶלְקִיק שִׂיחָה עִבְרִי. מוֹדָלִי."
"עַתָּה","now","חֶלְקִיק זְמַן עִבְרִי."
"תָּמִיד","always, continually","חֶלְקִיק זְמַן עִבְרִי. אַסְפֶּקְט הֶרְגֵּלִי."
"מַהִיקַנִּיטָאךְ","Mahikanítakh (Hudson Valley)","שֵׁם הִיבְּרִידִי: מָהִיקָאן Mahicannituck ('הַנָּהָר שֶׁזּוֹרֵם לִשְׁנֵי הַכִּוּוּנִים') + אַחְרָא טֶרִיטוֹרְיָאלִי עִבְרִי -ítakh. מוֹלֶדֶת הַשָּׂפָה."
"רַב","rabbi, teacher","עִבְרִית rav. אוֹצַר מִלִּים דָּתִי."
"בְּרָכָה","blessing","עִבְרִית b'rakhah. אוֹצַר מִלִּים דָּתִי."
"שָׁלוֹם","peace","עִבְרִית shalom. בְּרָכָה וּמֻשָּׂג."
"תְּפִלָּה / לְהִתְפַּלֵּל","prayer, to pray","אוֹצַר מִלִּים דָּתִי עִבְרִי."
"תּוֹרָה","Torah, teaching","עִבְרִית. מֻשָּׂג דָּתִי מֶרְכָּזִי."
"מִצְוָה","commandment","עִבְרִית mitzvah. אוֹצַר מִלִּים אֶתִי-דָּתִי."
"קָדוֹשׁ","holy, sacred","עִבְרִית kadosh. אוֹצַר מִלִּים דָּתִי."
"שַׁבָּת","Sabbath","עִבְרִית shabbat. אוֹצַר מִלִּים שֶׁל לוּחַ."
"קָאפֵּיוָאבּוֹ","coffee","אַלְגוֹנְקְוִינִי kaapewabo. אוֹצַר מִלִּים שֶׁל מַשְׁקָאוֹת."
"אַנִיבִּישָׁאבוֹ","tea","אַלְגוֹנְקְוִינִי anibiishaabo. אוֹצַר מִלִּים שֶׁל מַשְׁקָאוֹת."
"אִינִינָאטִיגוֹ נָאמִינָאס","maple syrup","אַלְגוֹנְקְוִינִי ininaatigo naaminas. אוֹצַר מִלִּים שֶׁל אֹכֶל מֵהָאָרֶץ."
"אָמוֹ־סִיזִיבָּאקְוַאד","honey","אַלְגוֹנְקְוִינִי aamo-sizibaakwad. אוֹצַר מִלִּים מָתוֹק."
"מַנְדָּאמִין","corn","אַלְגוֹנְקְוִינִי mandaamin. אוֹצַר מִלִּים חַקְלָאִי."
"וָאבוֹז","rabbit","אַלְגוֹנְקְוִינִי waaboz. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"וָאבוֹזְס","little rabbit (diminutive)","אַרְנֶבֶת + הַקְטָנָה -ס."
"אַנִימוֹשׁ","dog","אַלְגוֹנְקְוִינִי animosh. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"קָאג׳אַגֶנְס","cat","אַלְגוֹנְקְוִינִי kaajagens. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"פִּינֶשִׁינְג׳","bird","אַלְגוֹנְקְוִינִי pineshiinj. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"קִינִיו מִיגְוַאן","eagle feather","אַלְגוֹנְקְוִינִי kiniw miigwan. אוֹצַר מִלִּים טִקְסִי."
"טֶוֶוהִיגַן","drum","אַלְגוֹנְקְוִינִי tewehigan. אוֹצַר מִלִּים טִקְסִי."
"נַאסֵמָא","tobacco","אַלְגוֹנְקְוִינִי nasemaa. רְפוּאָה קְדוֹשָׁה."
"קִיזִ׳יק","cedar","אַלְגוֹנְקְוִינִי kiijik. רְפוּאָה קְדוֹשָׁה."
"נוֹקְוֶוַאשְׁק","sweetgrass","אַלְגוֹנְקְוִינִי nokwewashk. רְפוּאָה קְדוֹשָׁה."
"אַפָּאבוֹוַאשְׁק","sage","אַלְגוֹנְקְוִינִי apabowashk. רְפוּאָה קְדוֹשָׁה."
"קִיטִיזִי","elder","אַלְגוֹנְקְוִינִי kitizi. אוֹצַר מִלִּים שֶׁל קִרְבָה/כָּבוֹד."
"וִידְ׳ג׳יקִיוֶוֵי","friend","אַלְגוֹנְקְוִינִי wiijikiwewe. אוֹצַר מִלִּים חֶבְרָתִי."
"וִידְ׳ג׳יגֶנְדָּאגַן","neighbor","אַלְגוֹנְקְוִינִי wiijigendaagan. אוֹצַר מִלִּים חֶבְרָתִי."
"וִידִיגֶמָאגַן","wife, husband, spouse","אַלְגוֹנְקְוִינִי wiidigemaaagan. אוֹצַר מִלִּים שֶׁל קִרְבָה."
"אָנִיקֶה־מִישׁוֹמִיסִינָאבַנֶג","ancestor(s)","אַלְגוֹנְקְוִינִי aanike-mishoomisinabaneg. אוֹצַר מִלִּים שֶׁל קִרְבָה."
"פִּיקְוַאדִין","mountain","אַלְגוֹנְקְוִינִי pikwaadin. אוֹצַר מִלִּים שֶׁל אָרֶץ."
"פַּאנְגִישִׁימוֹ","sunset","אַלְגוֹנְקְוִינִי pangishimo. אוֹצַר מִלִּים שֶׁל זְמַן/טֶבַע."
"מוֹקַאהַם","sunrise","אַלְגוֹנְקְוִינִי mookaham. אוֹצַר מִלִּים שֶׁל זְמַן/טֶבַע."
"מוֹשְׁקִינֶה אַפְּקִיזִי טִיבִּיק־קִיזִיס","full moon","אַלְגוֹנְקְוִינִי: מָלֵא + זוֹרֵחַ + שֶׁמֶשׁ-לַיְלָה. אוֹצַר מִלִּים אַסְטְרוֹנוֹמִי."
"וָאבִיגוֹן","flower","אַלְגוֹנְקְוִינִי waabigon. אוֹצַר מִלִּים שֶׁל צְמָחִים."
"מִינִיקַאן","seeds","אַלְגוֹנְקְוִינִי miinikan. אוֹצַר מִלִּים חַקְלָאִי."
"אוֹנְדַאמִיטַא","to work","אַלְגוֹנְקְוִינִי ondamita. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"אוֹדַאמִינוֹ","to play","אַלְגוֹנְקְוִינִי odamino. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"נִיבָּא","to sleep","אַלְגוֹנְקְוִינִי nibaa. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"קוֹשְׁקוֹזִי","to wake up","אַלְגוֹנְקְוִינִי koshkozi. אוֹצַר מִלִּים שֶׁל פְּעֻלָּה."
"פָּאפִּי","to laugh","אַלְגוֹנְקְוִינִי paapi. אוֹצַר מִלִּים רִגְשִׁי."
"מַאוִוי","to cry","אַלְגוֹנְקְוִינִי mawi. אוֹצַר מִלִּים רִגְשִׁי."
"פַּאפִּינְגְוֶנִי","to smile","אַלְגוֹנְקְוִינִי papingweni. אוֹצַר מִלִּים רִגְשִׁי."
"פָּאפִּינֶנִינְדַאם","happy","אַלְגוֹנְקְוִינִי paapinenindam. אוֹצַר מִלִּים רִגְשִׁי."
"קַאשְׁקֶנִינְדַאם","sad","אַלְגוֹנְקְוִינִי kashkenindam. אוֹצַר מִלִּים רִגְשִׁי."
"נִישְׁקַאדִיסִי","angry","אַלְגוֹנְקְוִינִי nishkaadisi. אוֹצַר מִלִּים רִגְשִׁי."
"בּוּז׳וּ","hello, greetings","אוֹגִ׳יבְוֶוֵי boozhoo. בְּרָכָה מֵאַלְגוֹנְקְוִין מֶרְכָּזִי."
"מִיגְוֶוץ׳","thank you","אוֹגִ׳יבְוֶוֵי miigwech. אוֹצַר מִלִּים שֶׁל הוֹדָיָה."
"אָאנִין","how? why?","אוֹגִ׳יבְוֶוֵי aaniin. מִלַּת שְׁאֵלָה."
"אָאנִין אַפִּי","when?","אוֹגִ׳יבְוֶוֵי aaniin apii. מִלַּת שְׁאֵלָה."
"אַלַּאנְקְוֶה","star","לֶנַאפֶּה allanque. אוֹצַר מִלִּים אַסְטְרוֹנוֹמִי."
"אַלַאפַּא","tomorrow","לֶנַאפֶּה alappa. אוֹצַר מִלִּים שֶׁל זְמַן."
"אֶלֶמִי","today (sometime today)","לֶנַאפֶּה elemi לְ'מָתַי הַיּוֹם.' עִבְרִית הַיּוֹם לְזְמַן מֻפְשָׁט."
"אַוּוֶן","who? somebody","לֶנַאפֶּה auwen. מִלַּת שְׁאֵלָה/כִּנּוּי לֹא-מְיֻחָד."
"אַטַּא","no, not","לֶנַאפֶּה atta. שְׁלִילָה."
"אַוּוֹן","fog, mist","לֶנַאפֶּה awonn. אוֹצַר מִלִּים שֶׁל מֶזֶג אֲוִיר."
"אַסִּיסְקוּ","mud, clay","לֶנַאפֶּה assisku. אוֹצַר מִלִּים שֶׁל אָרֶץ."
"אַוֶוסִּיס","beast, animal","לֶנַאפֶּה awessis. אוֹצַר מִלִּים שֶׁל חַיּוֹת."
"אֶלֶמוּקוּלֶק","river bend, in the bend of the river","לֶנַאפֶּה elemukulek. אוֹצַר מִלִּים גֵּאוֹגְרָפִי."
"מוֹקוֹמָאן","knife","אַלְגוֹנְקְוִינִי mookoman. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"אֶמִיקְוָאן","spoon","אַלְגוֹנְקְוִינִי emikwaan. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"פַּאדַאקַאהִיגַן","fork","אַלְגוֹנְקְוִינִי padakahigan. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה."
"סָאסֶקְוָאן","frying pan","אַלְגוֹנְקְוִינִי saasekwaan. אוֹצַר מִלִּים שֶׁל בִּשּׁוּל."
"אוֹנָאגַן","plate","אַלְגוֹנְקְוִינִי onaagan. אוֹצַר מִלִּים שֶׁל סְעֻדָּה."
"אַקְוָאנְדַאוָאגַן","stairs","אַלְגוֹנְקְוִינִי akwaandawaagan. אוֹצַר מִלִּים אֲדְרִיכָלִי."
"אַגְוַאדְ׳ז׳ינְג","outside","אַלְגוֹנְקְוִינִי agwaajiing. אוֹצַר מִלִּים מֶרְחָבִי."
"מַאדוֹדִיסוֹן","sweat lodge","אַלְגוֹנְקְוִינִי madoodison. אוֹצַר מִלִּים טִקְסִי."
"אוֹפְּוָאגַן","pipe","אַלְגוֹנְקְוִינִי opwaagan. אוֹצַר מִלִּים טִקְסִי."
"מַאגוֹשֶׁוִוין","feast","אַלְגוֹנְקְוִינִי magoshewin. אוֹצַר מִלִּים טִקְסִי."
"אִיזִ׳יטְוָאוִוין","ceremony","אַלְגוֹנְקְוִינִי iijitwaawin. אוֹצַר מִלִּים טִקְסִי."
"מַאשְׁקִיקִיוִוינִינִי / מַאשְׁקִיקִיקְוֶוֵי","medicine man/woman","אַלְגוֹנְקְוִינִי mashkikiiwininii / mashkikiikwe. אוֹצַר מִלִּים טִקְסִי."
"פִּיקוֹגָאן","teepee","אַלְגוֹנְקְוִינִי pikogaan. אוֹצַר מִלִּים שֶׁל מִשְׁכָּן."
"מַאמַאנְדוֹסֶה קִיז׳יק","pow wow, gathering day","אַלְגוֹנְקְוִינִי mamandose kiijik. אוֹצַר מִלִּים טִקְסִי."
"סוֹמָאנִיקִי","penny","אַלְגוֹנְקְוִינִי soomaniki. אוֹצַר מִלִּים שֶׁל כֶּסֶף."
"נִיזְ׳ וָאבִּיק","dollar (two)","אַלְגוֹנְקְוִינִי niij waabik. אוֹצַר מִלִּים שֶׁל כֶּסֶף."
"טִיבַּאהִיגִיזִיסְוָאן","clock","אַלְגוֹנְקְוִינִי tibahigiziswan. אוֹצַר מִלִּים שֶׁל זְמַן."
"טִיבַּאהִיגַן","hour","אַלְגוֹנְקְוִינִי tibahigan. אוֹצַר מִלִּים שֶׁל זְמַן."
"טִיבַּאהִיגָאנְס","minute","אַלְגוֹנְקְוִינִי tibahigaans. אוֹצַר מִלִּים שֶׁל זְמַן."
"פִּיסִי־טִיבַּאהִיגָאנְס","second (time)","אַלְגוֹנְקְוִינִי pisi-tibahigaans. אוֹצַר מִלִּים שֶׁל זְמַן."
"אָבִּיטָא־טִיבִּיקַד","midnight","אַלְגוֹנְקְוִינִי aabitaa-tibikad. אוֹצַר מִלִּים שֶׁל זְמַן."
"קַדְמָא","prefix (grammatical term)","מֻנָּח דִּקְדּוּקִי בְּסִגְנוֹן עִבְרִי: 'מָה שֶׁבָּא לִפְנֵי.'"
"אַחְרָא","suffix (grammatical term)","מֻנָּח דִּקְדּוּקִי בְּסִגְנוֹן עִבְרִי: 'מָה שֶׁבָּא אַחֲרֵי.'"
"פֹּעֲלָא / פֹּעַל","verb (grammatical term)","עִבְרִית po'al. אוֹצַר מִלִּים דִּקְדּוּקִי."
"שֵׁם / שְׁמָא","noun (grammatical term)","עִבְרִית shem. אוֹצַר מִלִּים דִּקְדּוּקִי."
"לוֹקָטִיב","locative (grammatical term)","מֻנָּח דִּקְדּוּקִי מֻשְׁאָל."
"פֵּירוּשׁוֹ","its meaning, it means","עִבְרִית: פֵּירוּשׁ שֶׁלּוֹ."
"מִלָּה","word","עִבְרִית millah. אוֹצַר מִלִּים מֶטָא-לָשׁוֹנִי."
"לָשׁוֹן","language","עִבְרִית lashon. אוֹצַר מִלִּים מֶטָא-לָשׁוֹנִי."
"שָׁלוֹם־וְאָנִי / וְלַאלִינְטַאם","peace and gratitude (closing)","סִיּוּם הִיבְּרִידִי: עִבְרִית shalom + הוֹדָיָה אַלְגוֹנְקְוִינִית."
